,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,lgbtiq,freedom,man,plebiscite,equality,issue,charities,school,love,discrimination,list,labor,entity,item,international,prime,ago,kate,adoption,gay,survey,election,leave,submission,act,legislation,superannuation,women,officer,amendments,daughter,religious,children,change,regional,commonwealth,percent,faith,conscience,pm,church,got,opposition,expression,tasmania,wangaratta
1,community,freedoms,woman,australian,australians,views,charity,young,let,sex,perform,party,belief,schedule,rights,minister,years,mother,government,lesbian,safeguards,definition,granted,election,institution,think,relationships,indigenous,defence,senate,wisdom,celebrants,institution,nation,rural,religion,yes,god,assumption,15,facilities,don,agreed,churches,rodney,bishop
2,yes,religious,union,vote,law,view,charitable,schools,equal,couples,90,leader,relevant,page,human,parliament,indigenous,choice,intercountry,homosexuals,process,position,house,sex,government,relationships,facto,equality,cdf,won,fisher,amendment,parents,debate,inner,shall,survey,religious,beliefs,afternoon,going,going,question,statement,state,indi
3,equality,religion,voluntarily,issue,time,think,commissioner,josh,equality,labor,celebrants,families,person,omit,freedom,equality,changed,liz,couples,homosexual,government,change,member,tennis,entered,relationship,government,change,force,discrimination,church,senate,society,views,references,constitution,electorate,church,conscientious,submitted,business,mob,second,sex,equality,harry
4,want,traditional,88e,debate,australia,sex,status,sex,fair,act,ceremonies,australian,holds,substitute,covenant,liberal,louise,deep,attorney,commitment,provisions,said,gallery,professor,contained,society,discrimination,1975,authorised,debate,coroner,ministers,social,argued,cities,qualification,voted,christian,trumps,debate,run,think,amendment,commitment,tasmanian,anglican
5,survey,speech,entered,australians,acknowledge,community,tax,gilmore,attracted,marry,category,member,act,line,article,party,time,family,states,australians,postal,disdain,tabled,inquiry,definition,definition,community,married,chaplain,think,solomon,refuse,woman,lives,towns,116,vote,protections,celebrant,mpi,churches,little,read,renewed,survey,rural
6,thank,conscience,insert,government,parliament,position,religious,children,laws,ending,opt,government,section,celebrant,belief,matter,women,uhlmann,sex,community,community,labor,behalf,melbourne,sex,court,partner,nondiscrimination,appointed,time,privilege,solemnise,man,process,voted,pulpit,postal,based,primacy,90,hold,said,substituting,slope,just,gender
7,long,protections,community,campaign,support,personal,act,told,despite,remove,religious,opposition,subsection,subsection,declaration,parties,right,struck,territories,years,conduct,contacted,flag,coalition,overseas,parliament,sex,australian,appointment,kennedy,prayer,freedoms,biological,great,australia,prolong,religious,organisations,belief,indulgence,department,really,leader,slippery,choice,community
8,love,sex,message,lgbti,reality,debate,assessment,want,day,rights,registered,members,paragraph,insert,treaties,national,debates,rose,overseas,men,vilification,cowan,vote,equality,country,law,relationship,relation,overseas,member,god,compromise,union,quo,electorates,establishing,australian,christianity,philosophy,madam,electric,know,omitted,relation,sharon,cathy
9,campaign,australians,subsection,million,member,electorate,amendments,lies,reform,matter,categories,support,beliefs,solemnise,religion,vote,contentious,support,relation,couples,australians,say,opposition,law,valid,important,loving,remained,chaplains,comments,years,committee,families,important,utterly,observance,respect,orthodox,religious,statements,religious,single,immediate,view,tireless,parkes
10,proud,protect,section,referendum,joy,gippsland,confirmed,protection,won,members,civil,debate,vaa,religious,18,plebiscite,australia,raised,commonwealth,australian,lgbti,party,make,discrimination,fundamental,institution,heterosexual,case,personnel,delay,life,religion,family,course,totally,prohibiting,result,state,pope,30,flowers,lot,words,defend,dr,behalf
11,friends,amendments,thousands,200,rights,current,dgr,like,knows,member,website,years,purposes,authorised,basis,room,crime,suggestion,adoptions,marriages,broadcasters,vote,noise,removed,marriages,remarkable,couples,late,serving,protections,stance,protection,child,place,amending,imposing,australians,federation,cardinal,second,play,book,original,parliament,1990s,bring
