,0,1,2,3,4,5,6,7,8,9
0,equality,freedom,couple,party,plebiscite,child,charity,view,vote,amendment
1,love,religious,sex,labor,debate,man,charitable,issue,survey,celebrant
2,lgbtiq,religion,discrimination,member,australian,woman,commissioner,think,yes,religious
3,want,belief,government,election,australians,family,act,change,percent,senate
4,time,protection,relationship,prime,government,society,amendment,debate,electorate,officer
5,year,protect,law,vote,issue,institution,status,position,postal,solemnise
6,right,faith,adoption,opposition,prime,parent,entity,member,result,belief
7,community,right,act,minister,parliament,union,charities,sex,australian,category
8,young,conscience,superannuation,leader,minister,relationship,religious,community,religious,list
9,friend,church,facto,government,lgbti,mother,tax,electorate,australians,civil
10,know,law,gay,liberal,million,social,organisation,believe,respect,exemption
11,australians,amendment,remove,parliament,equality,life,relevant,different,process,want
12,like,sex,lesbian,promise,campaign,love,purpose,like,change,item
13,long,traditional,commonwealth,debate,vote,father,confirm,matter,support,religion
14,family,view,legislation,coalition,referendum,sex,assessment,parliament,majority,committee
15,law,hold,state,position,make,raise,law,way,sex,compromise
16,gay,speech,australia,issue,democracy,biological,funding,personal,national,member
17,thank,international,heterosexual,allow,200,change,dgr,know,community,perform
18,australia,human,community,change,country,legislation,concern,conscience,participation,chaplain
19,work,australians,relation,matter,argument,court,provide,support,view,page
