,0,1,2,3,4,5,6,7,8,9
0,community,percent,sex,plebiscite,equality,issue,charities,amendments,children,religious
1,lgbtiq,freedom,couples,prime,love,views,charity,senate,institution,freedom
2,want,yes,government,government,parliament,view,charitable,amendment,man,religion
3,like,survey,discrimination,labor,equal,think,commissioner,member,woman,celebrants
4,yes,religious,superannuation,australian,australians,position,entity,house,society,amendment
5,gay,voted,relationships,debate,minister,election,status,don,union,beliefs
6,years,australian,adoption,minister,prime,change,religious,debate,parents,freedoms
7,young,australians,facto,parliament,party,sex,act,want,sex,civil
8,time,freedoms,gay,vote,let,debate,tax,think,family,belief
9,survey,postal,act,australians,time,party,organisations,going,relationship,celebrant
10,love,protections,labor,issue,laws,member,relevant,today,social,solemnise
11,long,vote,legislation,lgbti,law,matter,amendments,won,life,ministers
12,thank,electorate,commonwealth,million,right,parliament,assessment,committee,mother,refuse
13,equality,sex,community,opposition,support,conscience,faith,time,law,rights
14,today,faith,lesbian,party,discrimination,believe,funding,legislation,families,protection
15,friends,respect,law,leader,australia,vote,based,discrimination,definition,right
16,know,views,rights,election,lgbtiq,definition,confirmed,let,biological,perform
17,campaign,result,amendment,democracy,member,said,dgr,second,act,list
18,lgbti,process,heterosexual,campaign,country,electorate,services,say,legislation,category
19,just,change,relationship,referendum,proud,opposition,purposes,leave,relationships,section
