,0,1,2,3,4,5,6,7,8
0,community,amendment,couple,plebiscite,equality,child,charity,view,freedom
1,want,celebrant,sex,debate,love,woman,charitable,issue,vote
2,lgbtiq,religious,discrimination,government,parliament,man,commissioner,change,religious
3,yes,freedom,government,prime,law,society,act,member,percent
4,year,belief,relationship,labor,party,family,amendment,think,yes
5,like,religion,adoption,australian,member,institution,entity,position,protection
6,young,senate,superannuation,minister,equal,parent,status,debate,survey
7,survey,civil,act,issue,australians,relationship,charities,election,australians
8,vote,solemnise,law,parliament,vote,union,religious,sex,australian
9,gay,want,gay,australians,right,mother,tax,vote,faith
10,friend,protection,facto,vote,time,life,organisation,party,view
11,come,right,lesbian,million,prime,sex,relevant,matter,protect
12,know,officer,remove,election,minister,love,purpose,parliament,sex
13,time,member,legislation,lgbti,let,social,confirm,electorate,postal
14,thank,category,commonwealth,party,support,father,assessment,believe,religion
15,feel,minister,community,opposition,discrimination,raise,faith,conscience,respect
16,campaign,house,state,campaign,work,change,funding,support,electorate
17,long,list,labor,make,australia,biological,law,definition,belief
18,family,committee,australia,leader,marry,law,dgr,opposition,result
19,electorate,refuse,amendment,democracy,lgbtiq,marry,provide,different,law
