,0,1,2,3
0,religious,sex,equality,vote
1,amendment,child,vote,issue
2,freedom,relationship,want,plebiscite
3,belief,couple,love,sex
4,act,law,time,debate
5,law,woman,australians,change
6,person,family,community,view
7,religion,man,yes,member
8,protection,right,right,australian
9,hold,support,make,parliament
10,right,community,year,government
11,faith,change,member,support
12,celebrant,love,support,make
13,protect,time,like,think
14,sex,gay,know,labor
15,state,society,come,party
16,view,marry,survey,australians
17,entity,discrimination,australia,right
18,section,institution,parliament,minister
19,include,government,religious,community
