,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,lgbtiq,freedom,children,plebiscite,equality,think,charities,going,love,relationships,celebrants,labor,entity,percent,amendments,prime,women,kate,adoption,gay,man,election,opposition,discrimination,act,sex,pm,church,regional,officer,survey
1,community,religion,institution,australian,australians,issue,charity,church,let,facto,religious,party,belief,yes,senate,minister,indigenous,mother,government,lesbian,woman,definition,agreed,sex,definition,views,15,daughter,wangaratta,defence,safeguards
2,yes,religious,parents,issue,law,view,charitable,don,equal,superannuation,list,members,item,religious,amendment,parliament,change,choice,couples,commitment,union,change,read,couples,institution,received,debate,wisdom,bishop,authorised,process
3,equality,conscience,society,debate,rights,views,commissioner,got,equality,discrimination,perform,member,page,voted,discrimination,liberal,changed,deep,sex,australians,voluntarily,position,question,view,entered,electorate,afternoon,fisher,rural,force,government
4,want,rights,social,vote,australia,position,status,want,attracted,relationship,90,families,schedule,vote,won,equality,married,liz,intercountry,homosexual,community,said,leader,act,government,percent,submitted,god,indi,cdf,postal
5,survey,belief,woman,australians,parliament,debate,religious,think,fair,government,category,australian,relevant,electorate,committee,party,years,family,states,homosexuals,88e,disdain,second,remove,law,personal,90,coroner,australia,chaplain,provisions
6,long,beliefs,man,government,time,parliament,tax,run,parliament,partner,civil,leader,omit,survey,member,matter,society,uhlmann,attorney,community,entered,coalition,amendment,churches,contained,letters,mpi,privilege,harry,appointed,community
7,thank,international,biological,campaign,reality,believe,act,school,despite,legislation,religion,government,person,freedoms,house,parties,debate,struck,territories,years,insert,policy,substituting,expression,sex,emails,indulgence,solomon,anglican,appointment,conduct
8,time,freedoms,family,lgbti,acknowledge,different,amendments,churches,right,loving,solemnise,support,subsection,postal,debate,national,1975,rose,overseas,course,message,contacted,omitted,relation,overseas,constituents,madam,prayer,inner,overseas,lgbti
9,campaign,article,child,million,support,change,assessment,know,country,community,amendment,opposition,substitute,australian,protections,vote,case,raised,relation,today,section,labor,immediate,throsby,laws,issue,statements,years,behalf,chaplains,australian
10,friends,human,families,sex,equal,community,confirmed,facilities,laws,heterosexual,celebrant,conscience,section,australians,want,members,ago,support,commonwealth,men,subsection,cowan,leave,85,fundamental,member,30,life,like,senate,vilification
11,love,covenant,union,referendum,laws,way,organisations,lot,day,sex,ministers,conference,insert,protections,greens,member,1967,love,superannuation,marriages,thousands,greens,addressed,removed,country,support,gallery,catholic,god,officers,australians
12,proud,18,relationship,200,opportunity,vote,dgr,say,knows,family,ceremonies,free,act,respect,delay,room,preference,unions,child,person,lesbian,say,words,statement,marriages,private,second,stance,really,serving,debate
13,young,protection,traditional,democracy,human,gippsland,funding,young,reform,acceptable,freedoms,years,paragraph,result,today,just,nondiscrimination,suggestion,policy,love,exclusion,vote,view,rights,valid,relationship,speaker,story,country,personnel,opportunity
14,finally,amendment,mother,parliament,member,conscience,advice,business,years,couples,opt,vote,faith,faith,don,turnbull,australian,children,adoptions,couples,government,promises,inquiry,member,understanding,matter,suspension,number,community,conscientious,broadcasters
15,years,traditional,sex,opposition,joy,important,services,schools,time,longterm,refuse,coalition,organisations,sex,celebrants,plebiscite,changes,foy,territory,say,law,promise,original,parliament,australia,relationships,return,internal,make,forces,additional
16,like,protections,love,labor,legislate,issues,amendment,little,person,rights,decide,important,line,majority,let,political,law,sides,australia,like,gay,2010,inevitably,marry,1961,email,question,faith,references,armed,relation
17,australians,conscientious,father,question,right,act,advancing,told,won,lesbians,categories,debate,body,change,legislation,leader,late,okay,issue,australian,life,ha,cunningham,issue,reiterated,members,defer,teachings,faith,objection,apply
18,vote,protect,legislation,way,place,changes,unnecessary,really,lies,think,registered,liberal,holds,freedom,kennedy,government,laws,constituents,provision,life,discriminate,matter,position,pieces,couples,respect,orders,skin,cathy,select,statistics
19,lgbti,law,natural,change,lgbti,support,unlikely,saying,ready,amendment,website,senator,religious,views,create,house,remained,homophobic,provisions,said,ordinary,stand,suggests,matter,legislation,throsby,deputy,tell,cities,military,fix
