,0,1,2,3,4,5,6,7,8
0,percent,religious,sex,plebiscite,equality,issue,charities,community,children
1,freedom,freedom,couples,prime,love,views,charity,want,institution
2,survey,amendments,government,government,parliament,view,charitable,gay,man
3,yes,celebrants,discrimination,australian,australians,think,entity,like,woman
4,religious,religion,superannuation,minister,equal,position,commissioner,lgbtiq,society
5,voted,amendment,relationships,labor,minister,election,status,young,union
6,freedoms,beliefs,adoption,debate,lgbtiq,change,amendments,years,parents
7,australians,senate,facto,parliament,prime,debate,act,yes,sex
8,australian,belief,gay,australians,time,party,religious,time,family
9,postal,freedoms,act,vote,party,member,tax,today,relationship
10,protections,civil,legislation,issue,let,sex,organisations,know,social
11,vote,celebrant,labor,lgbti,discrimination,parliament,relevant,long,life
12,electorate,solemnise,commonwealth,million,law,matter,faith,don,mother
13,sex,want,community,opposition,laws,vote,assessment,got,law
14,faith,ministers,law,party,support,conscience,funding,thank,families
15,respect,rights,lesbian,democracy,australia,opposition,based,just,act
16,views,protection,amendment,leader,right,believe,confirmed,really,biological
17,result,refuse,rights,campaign,member,definition,dgr,said,definition
18,change,conscience,relation,referendum,proud,said,services,campaign,love
19,process,house,relationship,election,country,members,purposes,love,relationships
