,0,1,2,3,4,5,6,7,8,9,10,11
0,community,freedom,children,plebiscite,equality,views,charities,amendments,church,sex,religious,labor
1,lgbtiq,percent,institution,prime,love,view,charity,senate,kate,couples,freedom,election
2,yes,yes,man,debate,parliament,issue,charitable,amendment,mother,government,celebrants,party
3,want,survey,woman,parliament,equal,think,entity,member,family,discrimination,religion,position
4,like,religious,society,minister,minister,sex,commissioner,house,choice,superannuation,amendment,change
5,gay,voted,union,australians,prime,parliament,status,don,deep,relationships,beliefs,opposition
6,young,freedoms,parents,government,australians,debate,religious,think,liz,adoption,civil,australian
7,survey,australians,relationship,lgbti,let,position,act,going,uhlmann,facto,freedoms,government
8,equality,australian,definition,australian,laws,electorate,tax,want,life,gay,solemnise,definition
9,years,protections,social,vote,party,believe,organisations,debate,sex,act,celebrant,coalition
10,time,postal,act,million,time,change,relevant,today,children,lesbian,belief,vote
11,long,vote,law,issue,right,conscience,amendments,won,faith,commonwealth,ministers,debate
12,thank,electorate,sex,referendum,australia,matter,assessment,time,struck,legislation,refuse,said
13,love,sex,biological,campaign,law,different,faith,legislation,support,law,protection,leader
14,campaign,faith,family,community,discrimination,member,funding,committee,raised,community,rights,issue
15,friends,respect,legislation,democracy,country,personal,based,let,rose,rights,right,member
16,lgbti,views,entered,200,member,community,confirmed,discrimination,years,heterosexual,perform,policy
17,today,result,families,equality,parties,act,dgr,say,love,labor,list,disdain
18,just,majority,exclusion,question,support,members,services,know,unions,amendment,category,clear
19,proud,process,life,opposition,vote,way,purposes,second,father,states,section,promise
