,0,1,2
0,act,issue,vote
1,sex,plebiscite,religious
2,belief,change,equality
3,law,sex,freedom
4,amendment,member,right
5,child,debate,australians
6,person,parliament,support
7,couple,vote,want
8,woman,government,amendment
9,man,view,member
10,religious,equality,yes
11,state,make,time
12,relationship,think,make
13,discrimination,australian,community
14,government,support,love
15,institution,community,law
16,definition,right,survey
17,right,labor,change
18,family,party,australia
19,hold,time,year
