,0,1,2,3,4,5
0,freedom,amendment,view,plebiscite,equality,child
1,vote,religious,issue,prime,love,relationship
2,religious,celebrant,change,labor,lgbtiq,sex
3,yes,freedom,think,government,want,couple
4,percent,belief,member,minister,time,institution
5,protection,religion,debate,debate,vote,woman
6,survey,charity,position,australian,community,man
7,australians,senate,sex,parliament,year,government
8,australian,member,vote,equality,yes,family
9,faith,act,election,party,friend,law
10,protect,law,electorate,issue,young,society
11,view,right,matter,australians,australians,act
12,postal,protection,parliament,vote,right,gay
13,sex,solemnise,believe,election,know,discrimination
14,electorate,discrimination,party,opposition,like,union
15,religion,want,support,million,thank,legislation
16,belief,civil,community,leader,long,facto
17,respect,minister,like,make,family,parent
18,result,organisation,conscience,lgbti,survey,adoption
19,change,officer,different,member,australia,superannuation
