,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,love,freedom,discrimination,plebiscite,equality,child,charity,lgbtiq,vote,amendment,officer,celebrant,kate,entity,religious,belief,election,regional,adoption,gay,view,change,pm,school,daughter
1,let,religious,sex,debate,prime,society,charitable,equality,survey,senate,chaplain,list,choice,item,church,international,labor,wangaratta,government,lesbian,issue,indigenous,opposition,want,wisdom
2,vote,protect,relationship,australian,minister,institution,commissioner,community,percent,member,force,category,mother,belief,faith,article,party,bishop,couple,community,think,woman,15,young,fisher
3,equality,conscience,couple,issue,parliament,man,charities,yes,yes,celebrant,appoint,perform,family,page,protection,human,position,rural,law,homosexual,position,law,second,think,church
4,equal,traditional,remove,australians,party,woman,status,survey,electorate,discrimination,authorised,religious,liz,schedule,religion,rights,promise,australia,sex,government,change,year,debate,talk,coroner
5,fair,protection,facto,government,member,parent,amendment,friend,postal,house,defence,90,deep,subsection,law,covenant,vote,indi,provision,man,community,debate,speech,dress,solomon
6,time,amendment,member,campaign,law,family,act,want,australian,committee,cdf,civil,support,omit,state,freedom,member,harry,act,discriminate,member,think,question,tell,story
7,day,speech,superannuation,million,matter,relationship,tax,thank,result,want,appointment,ceremony,uhlmann,relevant,freedom,right,change,anglican,overseas,minister,believe,society,gallery,child,privilege
8,parliament,sex,act,lgbti,liberal,union,religious,family,respect,support,senate,opt,rose,person,protect,18,definition,ask,country,prime,matter,marry,read,girl,prayer
9,marry,australians,labor,vote,australians,social,confirm,long,australians,debate,serve,register,love,substitute,service,religion,coalition,inner,intercountry,issue,debate,ago,afternoon,come,god
10,belong,religion,heterosexual,parliament,achieve,biological,assessment,campaign,change,religious,overseas,freedom,child,section,god,law,government,like,attorney,relationship,parliament,reflect,speaker,know,year
11,right,belief,amend,referendum,right,mother,purpose,time,majority,think,insert,solemnise,sex,insert,organisation,treaty,policy,country,territory,superannuation,electorate,institution,leader,bit,tell
12,country,view,family,opposition,work,legislation,dgr,australians,process,delay,armed,religion,constituent,act,community,declaration,australian,electorate,state,australian,different,australian,member,protect,number
13,respect,vote,right,200,make,father,organisation,feel,sex,seek,military,website,strike,line,christian,conscience,disdain,community,australia,live,conscience,right,mpi,protection,stance
14,proud,express,commitment,democracy,sponsor,definition,affect,fight,religious,propose,conscientious,final,father,paragraph,establish,civil,issue,talk,contain,woman,personal,case,leave,lie,life
15,hope,support,legislation,make,vote,traditional,concern,year,support,pass,personnel,sex,nurture,organisation,constitution,basis,debate,behalf,matter,reform,sex,thing,house,run,responsibility
16,law,yes,marry,community,support,define,entity,lgbti,view,oppose,religious,day,church,solemnise,body,point,clear,really,adopt,year,express,campaign,indulgence,schools,family
17,today,right,partner,question,country,life,funding,proud,participation,consider,objection,wedding,suggestion,refusal,exemption,manifest,2010,town,enter,heterosexual,current,1967,time,like,internal
18,year,conscientious,support,sex,national,raise,advice,like,question,compromise,select,window,foy,body,run,hold,opposition,make,commonwealth,australia,way,australians,suspension,thing,skin
19,person,believe,piece,argument,turnbull,redefine,relevant,young,national,reject,belief,decide,life,traditional,section,tribunal,greens,legislation,measure,australians,support,1975,submit,little,catholic
