,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,receive,election,faith,equality,love,plebiscite,religion,cost,amendment,relationship,sex,freedom,sex,item,debate,time,vote,person,view,equality,sex,right,view,vote
1,riverina,position,act,member,amendment,parliament,commonwealth,child,religious,think,relationship,amendment,couple,officer,plebiscite,right,community,belief,member,love,freedom,debate,sex,freedom
2,correspondence,issue,organisation,think,member,equality,moral,social,freedom,community,support,religious,government,line,government,think,equality,entity,issue,member,change,member,vote,amendment
3,conversation,definition,base,community,view,minister,enshrine,consequential,law,law,niece,religion,child,page,australians,make,yes,act,change,parliament,religious,matter,change,religious
4,properly,debate,body,want,think,prime,section,consequence,charity,sex,marry,protection,relationship,religious,labor,change,love,relevant,vote,right,law,belief,think,party
5,understanding,make,purpose,place,debate,vote,protection,propose,member,partner,member,belief,family,schedule,equality,want,support,hold,community,want,society,law,issue,percent
6,hopeful,change,section,australians,issue,debate,religious,health,right,institution,legislation,senate,support,chaplain,issue,vote,want,law,australian,party,vote,view,plebiscite,labor
7,contemporary,vote,tax,survey,support,member,make,public,celebrant,minister,parliament,right,law,insert,change,like,time,include,debate,work,child,australia,australian,conscience
8,mere,know,establish,course,institution,government,strong,consider,act,government,young,house,act,omit,make,year,year,engage,support,law,view,sex,parliament,western
9,98,clear,37,hard,legislation,issue,shall,issue,sex,prime,like,minister,gay,authorised,vote,come,right,section,sex,make,australians,civil,debate,sydney
10,news,member,1984,lgbti,change,right,conservative,likely,support,acceptable,woman,church,state,celebrant,australian,love,like,subsection,make,time,definition,number,labor,member
11,gays,amendment,sex,vote,time,australians,constitution,ethical,vote,discrimination,think,want,community,substitute,support,know,make,conduct,electorate,australians,australian,parliament,member,right
12,friends,opposition,discrimination,support,make,make,link,conduct,view,love,electorate,member,legislation,amendment,opposition,man,know,express,survey,equal,faith,legislation,support,allow
13,parents,leave,assessment,long,relationship,party,australian,ought,want,woman,nephew,labor,australia,force,year,issue,come,public,legislation,labor,right,human,respect,greenway
14,uncertain,party,right,australia,believe,community,hreoc,mother,organisation,man,child,law,issue,subsection,way,thing,australians,state,parliament,vote,institution,government,election,free
15,pity,matter,religious,legislation,right,million,trump,father,faith,believe,vote,committee,australian,solemnise,minister,parliament,gay,territory,australians,support,woman,think,party,reason
16,combination,stand,insert,melbourne,different,matter,conscientious,biological,concern,australian,partner,protect,discrimination,traditional,community,just,electorate,authority,way,year,man,homosexual,couple,survey
17,embarrassing,labor,advance,believe,party,lgbti,elderly,medical,think,time,oppose,celebrant,labor,belief,process,equality,survey,paragraph,think,thank,support,year,believe,house
18,reception,government,detailed,great,process,child,tactic,donor,belief,member,perspective,make,member,conscientious,party,good,family,make,religious,discrimination,couple,minister,make,need
19,symbolism,conscience,subsection,right,need,referendum,brown,procedure,discrimination,play,eld,yes,recognise,section,clear,marry,australia,court,believe,country,percent,question,act,come
