,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,survey,freedom,children,plebiscite,equality,issue,charities,school,love,discrimination,item,labor,entity,percent,amendments,prime,faith,kate,adoption,gay,received,election,act,expression,man,yes,opposition,officer,superannuation,list,regional,religious,daughter,women,fair,pm,nation,got,commonwealth,amendment,international,indigenous,lgbtiq,burke,legislation,conscience,flynn,commitment,church
1,safeguards,freedoms,parents,vote,australians,think,charity,young,equal,sex,schedule,party,belief,yes,senate,minister,god,mother,government,lesbian,sex,definition,institution,churches,woman,community,agreed,defence,relationships,perform,wangaratta,celebrants,wisdom,indigenous,belongs,15,change,don,religion,religion,rights,ago,australians,edmund,definition,beliefs,act,state,going
2,process,religious,institution,issue,law,view,charitable,schools,let,couples,page,member,relevant,survey,won,parliament,church,choice,intercountry,homosexuals,views,change,government,statement,union,equality,question,cdf,facto,90,bishop,amendment,fisher,equality,voted,submitted,australian,going,shall,corangamite,human,years,want,quo,think,conscientious,australians,relationships,facilities
3,government,traditional,society,australian,acknowledge,position,commissioner,want,equality,act,omit,australian,person,electorate,discrimination,equality,religious,liz,couples,homosexual,personal,position,entered,renewed,community,lgbti,read,force,government,celebrants,rural,senate,church,change,love,afternoon,calare,mob,constitution,manifest,freedom,changed,equality,debate,relationships,assumption,wishes,institution,business
4,provisions,religion,social,debate,support,views,status,lies,attracted,rights,substitute,members,holds,vote,debate,liberal,christian,deep,attorney,australians,electorate,disdain,contained,relation,88e,friends,leader,authorised,discrimination,ceremonies,indi,freedoms,coroner,1975,respect,debate,maranoa,little,qualification,house,covenant,louise,survey,opinions,relationship,trumps,values,views,run
5,community,protections,biological,australians,parliament,debate,tax,protection,reform,remove,line,families,subsection,voted,time,party,based,family,states,commitment,member,said,overseas,sex,voluntarily,thank,second,chaplain,partner,category,harry,compromise,privilege,married,australian,mpi,make,think,relation,act,article,women,long,argued,court,celebrant,change,recognition,churches
6,postal,conscience,woman,million,reality,gippsland,religious,told,knows,labor,celebrant,leader,section,postal,member,matter,organisations,uhlmann,sex,sex,percent,coalition,definition,slope,insert,love,amendment,appointed,community,opt,australia,ministers,solomon,nondiscrimination,australia,90,lives,single,pulpit,practice,belief,time,time,sister,society,primacy,electorate,recognised,hold
7,lgbti,sex,man,government,australia,believe,act,talk,years,marry,subsection,government,act,religious,kennedy,parties,christianity,struck,territories,couples,emails,contacted,sex,slippery,entered,campaign,substituting,appointment,sex,religious,anglican,refuse,prayer,remained,day,indulgence,process,said,prolong,observance,declaration,right,community,parliament,law,belief,according,community,department
8,conduct,speech,child,campaign,rights,community,assessment,pointing,laws,85,insert,opposition,paragraph,result,comments,national,orthodox,rose,overseas,marriages,letters,policy,valid,defend,message,like,omitted,overseas,loving,categories,inner,antidiscrimination,god,relation,yes,madam,believe,book,establishing,worship,treaties,debates,hurt,opinion,act,minor,offer,duly,electric
9,vilification,protect,union,lgbti,opportunity,different,amendments,girls,ready,ending,solemnise,support,vaa,protections,protections,vote,protections,raised,adoptions,community,email,cowan,fundamental,view,subsection,proud,immediate,chaplains,relationship,registered,like,committee,years,australian,cousin,statements,debate,dress,116,lawful,religion,contentious,sorry,member,parliament,leave,mallee,relationship,flowers
10,broadcasters,australians,family,referendum,place,parliament,confirmed,gilmore,despite,matter,religious,debate,beliefs,respect,committee,room,federation,love,commonwealth,men,constituents,labor,country,commitment,section,years,addressed,personnel,heterosexual,website,behalf,solemnise,life,case,parliament,30,important,dressed,imposing,teaching,18,crime,discrimination,speech,justice,article,uphold,sex,play
