,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,lgbtiq,percent,children,plebiscite,equality,views,charities,amendments,love,sex,celebrants,election,entity,kate,freedom,church,women
1,community,survey,institution,australian,minister,issue,charity,senate,let,couples,religious,labor,item,mother,religion,going,indigenous
2,equality,yes,man,debate,prime,view,charitable,amendment,equal,government,list,party,belief,choice,religious,faith,change
3,yes,postal,woman,vote,parliament,think,commissioner,member,equality,discrimination,90,position,page,deep,conscience,don,changed
4,want,electorate,society,australians,australians,sex,status,house,parliament,superannuation,perform,opposition,schedule,liz,rights,god,years
5,survey,religious,union,issue,party,parliament,religious,debate,gay,relationships,civil,definition,officer,family,belief,run,debate
6,long,voted,parents,government,law,position,tax,committee,fair,adoption,category,change,insert,children,freedoms,religious,society
7,like,australian,relationship,parliament,member,believe,act,think,marry,facto,religion,coalition,subsection,uhlmann,beliefs,bishop,married
8,young,vote,definition,million,matter,debate,amendments,discrimination,attracted,gay,amendment,vote,omit,struck,international,churches,ago
9,time,australians,act,lgbti,rights,electorate,organisations,want,laws,lesbian,solemnise,government,authorised,support,protections,got,australian
10,thank,freedoms,sex,prime,liberal,conscience,assessment,won,right,act,celebrant,australian,person,sex,traditional,think,law
11,friends,respect,social,campaign,australia,matter,confirmed,don,years,community,ministers,said,substitute,raised,protect,catholic,changes
12,campaign,result,family,referendum,parties,personal,entity,legislation,person,legislation,ceremonies,leader,section,rose,human,say,laws
13,gay,protections,biological,minister,members,community,dgr,time,time,commonwealth,freedoms,issue,relevant,father,article,like,1975
14,years,sex,law,community,equal,member,funding,today,day,heterosexual,refuse,disdain,chaplain,love,amendment,know,preference
15,lgbti,process,families,democracy,country,different,relevant,second,vote,rights,opt,debate,act,unions,conscientious,want,commonwealth
16,australians,majority,legislation,200,laws,change,advice,let,despite,law,decide,member,line,suggestion,law,facilities,institution
17,proud,change,entered,opposition,support,act,amendment,delay,proud,amendment,categories,promise,paragraph,constituents,protection,schools,case
18,love,views,exclusion,question,discrimination,support,advancing,say,young,labor,principle,policy,religious,sides,18,business,1967
19,finally,participation,marriages,way,right,members,services,moved,commitment,relationship,sex,say,conscientious,choose,covenant,said,late
