,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,lgbtiq,freedom,discrimination,plebiscite,equality,child,charity,school,vote,amendment,officer,celebrant,family,love,church,entity,election,pm,adoption,gay,view
1,equality,religious,sex,debate,prime,society,charitable,want,percent,senate,chaplain,list,kate,let,faith,belief,labor,opposition,government,lesbian,issue
2,community,belief,relationship,australian,minister,institution,commissioner,young,survey,member,force,category,mother,vote,religious,item,party,second,couple,community,think
3,survey,religion,couple,australians,parliament,woman,charities,talk,yes,discrimination,appoint,religious,choice,equal,god,page,promise,debate,law,homosexual,change
4,yes,protect,remove,issue,party,man,status,think,electorate,celebrant,authorised,perform,liz,fair,protection,subsection,position,15,provision,government,debate
5,friend,protection,facto,government,law,parent,religious,regional,postal,religious,defence,90,deep,time,catholic,schedule,change,gallery,sex,man,position
6,thank,conscience,member,campaign,member,family,amendment,really,australian,committee,cdf,civil,support,equality,service,omit,vote,speech,act,discriminate,believe
7,long,right,act,million,matter,relationship,act,like,result,house,senate,ceremony,child,day,religion,relevant,member,question,country,minister,member
8,campaign,amendment,superannuation,lgbti,right,union,tax,know,australians,want,appointment,opt,uhlmann,marry,state,person,definition,member,overseas,prime,community
9,family,law,labor,parliament,liberal,social,confirm,vote,religious,support,serve,religion,sex,parliament,run,section,coalition,read,intercountry,issue,matter
10,want,international,law,vote,achieve,biological,assessment,country,respect,think,overseas,register,love,belong,christian,substitute,government,leave,attorney,relationship,parliament
11,australians,traditional,amend,referendum,australians,legislation,purpose,come,change,oppose,armed,solemnise,rose,right,year,act,policy,house,australia,year,electorate
12,year,view,right,opposition,country,change,organisation,ask,sex,debate,insert,freedom,constituent,year,life,insert,australian,leader,territory,superannuation,different
13,fight,article,heterosexual,democracy,work,definition,dgr,tell,support,propose,military,website,father,change,law,line,disdain,speaker,state,woman,personal
14,time,conscientious,legislation,prime,sponsor,traditional,concern,wangaratta,majority,compromise,conscientious,final,strike,today,bishop,paragraph,issue,grant,matter,australian,conscience
15,feel,speech,commitment,sex,vote,mother,affect,make,view,seek,personnel,sex,nurture,proud,business,organisation,debate,afternoon,contain,reform,sex
16,lgbti,human,marry,make,make,father,law,thing,process,delay,religious,day,meet,respect,fisher,body,clear,mpi,adopt,live,express
17,proud,18,piece,200,australia,life,provide,australia,participation,pass,objection,wedding,life,person,teach,solemnise,2010,time,enter,heterosexual,way
18,hard,covenant,commonwealth,question,support,define,funding,rural,protection,consider,select,window,equality,hope,debate,religious,greens,suspension,commonwealth,australia,support
19,like,express,family,harm,equal,raise,advice,electorate,freedom,reject,belief,decide,suggestion,country,organisation,refusal,opposition,offer,measure,australians,certainly
