,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,lgbtiq,freedom,children,plebiscite,equality,views,charities,going,love,discrimination,list,labor,entity,percent,amendments,survey,women,kate,adoption,gay,pm,election,opposition,expression,change,act,church,officer,relationships,religious
1,equality,rights,institution,australian,prime,issue,charity,don,let,sex,celebrants,party,item,yes,senate,safeguards,indigenous,mother,government,lesbian,15,definition,agreed,churches,nation,entered,daughter,defence,facto,religion
2,yes,religion,society,debate,minister,view,charitable,think,equal,couples,perform,members,belief,voted,won,process,change,choice,intercountry,community,debate,position,read,statement,acknowledge,definition,wisdom,force,superannuation,celebrants
3,community,conscience,man,issue,parliament,think,commissioner,got,fair,act,90,leader,page,religious,discrimination,government,changed,deep,couples,homosexual,afternoon,change,question,commitment,australians,institution,fisher,cdf,relationship,amendment
4,survey,belief,woman,vote,australians,sex,status,want,attracted,equality,ceremonies,member,schedule,vote,amendment,postal,married,liz,sex,man,submitted,said,second,sex,senator,government,god,authorised,legislation,freedoms
5,time,international,parents,australians,matter,personal,tax,church,despite,rights,category,government,subsection,electorate,member,community,years,family,attorney,government,mpi,disdain,amendment,renewed,course,law,coroner,chaplain,partner,freedom
6,want,article,union,million,liberal,debate,religious,really,laws,remove,opt,families,relevant,freedoms,debate,provisions,society,uhlmann,states,homosexuals,90,coalition,leader,relation,great,contained,solomon,appointed,government,refuse
7,long,beliefs,social,government,parties,electorate,act,know,parliament,labor,religious,australian,omit,survey,house,conduct,equality,struck,territories,woman,indulgence,cowan,substituting,view,debate,country,privilege,appointment,discrimination,solemnise
8,thank,human,biological,campaign,member,community,amendments,young,years,marry,civil,opposition,person,australian,committee,lgbti,debate,support,relation,australia,madam,say,immediate,slope,member,australia,prayer,overseas,loving,ministers
9,friends,covenant,relationship,lgbti,party,believe,assessment,like,day,85,categories,conscience,insert,protections,think,australian,australian,rose,commonwealth,88e,statements,contacted,omitted,slippery,today,sex,years,chaplains,community,protection
10,campaign,18,family,referendum,law,position,confirmed,regional,time,amendment,registered,prime,substitute,australians,delay,vilification,1975,children,overseas,living,30,vote,leave,parliament,moment,overseas,catholic,senate,acceptable,protections
11,love,conscientious,families,parliament,australia,conscience,organisations,lot,right,ending,celebrant,support,section,freedom,equality,opportunity,ago,raised,superannuation,minister,gallery,policy,words,defend,place,laws,life,serving,heterosexual,senate
12,proud,declaration,child,200,turnbull,parliament,dgr,school,person,laws,website,vote,act,postal,time,broadcasters,preference,unions,child,australian,speaker,greens,addressed,freedom,process,fundamental,stance,personnel,sex,church
13,young,freedoms,traditional,sex,plebiscite,different,funding,said,won,legal,decide,free,paragraph,sex,greens,debate,nondiscrimination,suggestion,adoptions,marriages,second,promises,original,couples,want,understanding,number,conscientious,family,antidiscrimination
14,finally,traditional,sex,democracy,vote,members,advice,say,equality,member,sex,minister,line,respect,want,additional,1967,love,policy,issue,return,stand,cunningham,legislation,courage,1961,story,officers,longterm,compromise
15,vote,fundamental,mother,opposition,country,received,advancing,wangaratta,lies,2012,window,liberal,holds,faith,don,apply,case,father,territory,thousands,suspension,labor,view,participated,lives,valid,internal,forces,think,faith
16,australians,amendment,life,way,national,support,services,talk,knows,gay,lists,debate,organisations,result,celebrants,fix,law,constituents,provisions,australians,deputy,clear,inquiry,community,long,marriages,skin,objection,prime,state
17,like,protect,environment,community,members,act,unlikely,bishop,belongs,support,final,conference,faith,views,protections,statistics,late,sides,provision,transgender,defer,know,inevitably,society,just,couples,teachings,armed,minister,laws
18,years,law,exclusion,question,political,current,unnecessary,country,marry,equal,separate,issue,body,majority,legislation,australians,changes,foy,adopt,message,house,ha,position,denial,like,legislation,tell,select,member,exemptions
19,lgbti,tribunal,purpose,change,government,matter,entity,australia,hate,pieces,line,parliament,purposes,change,comments,rights,sexual,okay,federal,prime,galleries,promise,suggests,argument,make,reiterated,wife,military,law,beliefs
