,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,lgbtiq,freedom,children,plebiscite,equality,women,charities,think,love,discrimination,list,labor,entity,officer,prime,election,faith,kate,adoption,gay,man,views,institution,expression,nation,submission,amendments,daughter,religious,church,wangaratta,pm,leave,regional,survey,percent,religion,international,superannuation
1,community,freedoms,parents,issue,australians,indigenous,charity,got,let,sex,perform,party,belief,defence,minister,definition,god,mother,government,lesbian,woman,issue,relationships,churches,australian,election,senate,wisdom,celebrants,facilities,bishop,15,granted,rural,safeguards,yes,amendment,rights,relationships
2,equality,religious,institution,vote,law,change,charitable,don,equal,couples,90,leader,item,authorised,parliament,position,religious,choice,couples,commitment,union,view,relationship,statement,change,sex,won,fisher,amendment,going,indi,second,gallery,inner,process,electorate,observance,article,government
3,yes,conscience,biological,debate,parliament,changed,commissioner,going,equality,labor,celebrants,opposition,page,cdf,equality,change,church,liz,sex,homosexuals,voluntarily,think,legislation,relation,australians,tennis,debate,church,senate,business,harry,question,tabled,references,government,survey,corangamite,human,facto
4,want,religion,society,campaign,australia,married,status,school,attracted,act,ceremonies,member,schedule,force,liberal,labor,christian,deep,act,homosexual,entered,sex,society,renewed,calare,professor,discrimination,coroner,freedoms,run,anglican,opposition,house,cities,postal,voted,manifest,freedom,discrimination
5,survey,traditional,social,government,time,debate,tax,really,laws,marry,category,members,relevant,chaplain,party,disdain,protections,family,overseas,community,community,position,state,sex,respect,inquiry,committee,privilege,solemnise,churches,community,debate,member,towns,community,vote,act,covenant,sex
6,long,protections,child,million,acknowledge,years,religious,young,despite,rights,opt,australian,omit,appointed,matter,said,based,uhlmann,intercountry,australians,88e,debate,facto,slope,maranoa,melbourne,think,solomon,refuse,electric,rural,submitted,behalf,australia,provisions,religious,freedom,belief,community
7,love,sex,families,lgbti,reality,society,act,want,right,ending,religious,families,subsection,appointment,parties,say,organisations,struck,states,years,exclusion,personal,commonwealth,slippery,debate,discrimination,time,prayer,compromise,hold,behalf,afternoon,opposition,voted,conduct,postal,worship,18,partner
8,thank,speech,sex,australian,support,1975,assessment,know,reform,remove,categories,support,person,overseas,national,party,religion,rose,attorney,couples,insert,community,recognised,defend,process,equality,protections,years,ministers,department,cathy,mpi,flag,electorates,lgbti,result,practice,declaration,lesbian
9,campaign,australians,family,australians,member,equality,amendments,lot,years,members,registered,government,substitute,chaplains,vote,cowan,state,support,institution,course,message,believe,view,commitment,great,coalition,comments,god,antidiscrimination,play,gender,indulgence,make,utterly,australians,respect,teaching,religion,couples
10,friends,protect,woman,referendum,rights,nondiscrimination,confirmed,said,knows,amendment,civil,debate,insert,serving,room,contacted,orthodox,raised,australia,men,section,electorate,fide,view,believe,law,kennedy,life,exemptions,flowers,parkes,madam,conscience,totally,vilification,sex,doesn,treaties,amendment
11,time,beliefs,man,opposition,opportunity,ago,dgr,dress,fair,matter,website,years,section,personnel,members,vote,federation,unions,definition,love,society,conscience,law,freedom,law,removed,member,story,religion,home,bring,90,noise,amending,broadcasters,majority,lawful,civil,loving
12,finally,conscientious,union,200,joy,1967,organisations,thing,country,points,decide,process,paragraph,conscientious,just,coalition,christianity,suggestion,territories,like,subsection,current,definition,participated,society,greens,legislation,number,protection,religious,asking,statements,able,talking,additional,protections,house,tribunal,reform
13,proud,amendments,mother,sex,place,australian,advice,country,parliament,member,celebrant,conference,line,senate,turnbull,clear,agencies,love,provisions,marriages,thousands,different,think,debate,make,deputy,delay,stance,committee,liberty,regional,30,going,refer,debate,freedoms,senate,beliefs,heterosexual
14,years,views,father,community,equal,preference,unlikely,little,time,85,window,vote,act,officers,political,promise,england,sides,countries,said,life,parliament,domestic,parliament,live,policy,let,internal,civil,castle,australia,suspension,read,overwhelmingly,apply,australian,contributor,law,honourable
15,young,yes,love,parliament,lgbti,changes,unnecessary,came,won,wife,lists,conscience,holds,objection,plebiscite,know,catholic,foy,law,recognition,law,gippsland,matter,member,important,firm,supporting,catholic,want,event,like,leader,letter,ask,fix,participation,adverse,universal,spouse
16,australians,voted,relationship,democracy,make,remained,entity,mob,lies,support,sex,issue,organisations,select,member,ha,employment,constituents,laws,person,lesbian,received,recognition,couples,lives,couples,risk,skin,laws,happens,commitment,agreed,schools,areas,statistics,western,introduce,basis,relationship
17,like,belief,legal,question,laws,1902,advancing,like,day,throsby,final,coalition,body,forces,leader,stand,schools,okay,commonwealth,sex,coalition,certainly,bona,legislation,way,campaign,hatred,conflict,minister,say,reverend,reading,today,country,opportunity,views,consequences,nations,lesbians
18,discrimination,definition,natural,money,speak,late,funding,talk,bells,care,religion,percent,purposes,armed,debate,promises,bishop,children,country,issue,sanctity,support,case,argument,best,parkinson,greens,tell,opposes,freedom,equality,speaker,vote,special,notwithstanding,said,sections,conscience,wedge
19,hurt,believe,traditional,labor,right,right,amendment,time,ignorance,pieces,separate,free,beliefs,improve,end,policy,australia,homophobic,entered,say,government,issues,court,denial,australia,senate,canning,wife,marriages,education,young,return,object,answer,australian,australians,derogate,hauled,gay
