,0,1,2,3
0,equality,freedom,sex,plebiscite
1,love,religious,relationship,issue
2,vote,amendment,child,debate
3,lgbtiq,belief,couple,vote
4,community,religion,woman,labor
5,want,protection,institution,change
6,time,celebrant,man,election
7,yes,vote,act,australian
8,australians,faith,government,parliament
9,year,protect,law,party
10,survey,right,family,view
11,friend,view,society,member
12,right,law,view,government
13,young,charity,discrimination,prime
14,thank,sex,change,opposition
15,family,church,legislation,think
16,know,conscience,gay,sex
17,like,percent,issue,minister
18,australia,hold,support,position
19,long,support,union,australians
