,0,1,2,3,4,5,6,7,8,9,10
0,officer,freedom,survey,belief,plebiscite,amendment,plebiscite,equality,sex,sex,equality
1,chaplain,vote,community,person,australian,religious,want,vote,child,relationship,vote
2,authorised,religious,right,act,vote,member,equality,labor,government,couple,community
3,amendment,view,process,religious,issue,freedom,young,want,couple,member,love
4,force,australians,rodney,entity,sex,celebrant,australians,australians,law,support,time
5,insert,sex,support,hold,government,law,child,member,change,discrimination,right
6,defence,percent,tasmania,section,parliament,want,make,yes,family,gay,support
7,church,yes,relation,law,debate,religion,law,debate,act,think,parliament
8,appoint,australian,choice,relevant,party,make,country,year,issue,law,change
9,member,support,religion,line,labor,right,love,campaign,definition,right,want
10,want,protection,reason,subsection,member,act,know,survey,right,love,know
11,house,change,provision,page,make,debate,thing,make,relationship,legislation,make
12,today,survey,fix,item,change,charity,tell,party,support,woman,issue
13,serve,amendment,human,schedule,election,support,right,minister,legislation,community,debate
14,overseas,faith,church,celebrant,australians,senate,vote,thank,australian,year,member
15,gender,respect,civil,state,right,minister,community,support,amendment,family,like
16,cdf,law,government,include,think,house,family,work,woman,view,come
17,wangaratta,electorate,like,amendment,minister,belief,need,family,make,man,think
18,religious,debate,freedom,conduct,equality,vote,school,parliament,view,issue,year
19,make,protect,think,organisation,view,allow,parliament,australia,australia,marry,view
