,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,lgbtiq,freedom,act,plebiscite,equality,think,charities,going,love,discrimination,list,labor,entity,percent,international,prime,women,kate,adoption,gay,man,election,opposition,pm,wangaratta,children,daughter,survey,officer,commonwealth,faith,amendments,yes,nation,views,regional,religious,referendum,leave,school,relationships,church
1,australians,conscience,definition,issue,australians,issue,charity,don,let,sex,perform,party,belief,yes,rights,minister,indigenous,mother,government,lesbian,woman,definition,agreed,15,bishop,institution,wisdom,safeguards,defence,religion,god,senate,community,change,received,rural,celebrants,campaign,granted,young,facto,facilities
2,equality,freedoms,entered,australian,law,view,charitable,got,equal,couples,90,member,item,survey,article,parliament,change,choice,intercountry,homosexuals,union,change,question,afternoon,indi,society,fisher,process,authorised,constitution,religious,won,equality,australian,sex,inner,amendment,lied,house,schools,superannuation,going
3,want,religion,institution,australians,support,position,commissioner,mob,equality,act,celebrants,australian,page,electorate,human,liberal,changed,liz,couples,homosexual,voluntarily,position,amendment,submitted,anglican,parents,church,government,cdf,shall,church,discrimination,friends,lives,personal,references,senate,1999,tabled,want,relationship,business
4,time,religious,government,vote,acknowledge,debate,status,little,fair,remove,ceremonies,families,schedule,voted,freedom,equality,married,deep,sex,commitment,community,said,second,debate,harry,woman,coroner,community,force,relation,christian,debate,lgbti,process,electorate,cities,solemnise,yes,member,lies,discrimination,run
5,survey,traditional,contained,lgbti,parliament,parliament,tax,think,laws,view,category,members,relevant,vote,covenant,party,years,family,states,australians,88e,disdain,leader,mpi,rural,man,privilege,provisions,chaplain,qualification,protections,member,thank,debate,member,towns,ministers,arguments,gallery,protection,government,churches
6,long,speech,sex,debate,reality,views,religious,single,attracted,rights,opt,government,person,religious,belief,matter,society,uhlmann,attorney,sex,insert,coalition,read,90,parkes,social,solomon,postal,appointed,prolong,based,time,love,make,constituents,australia,refuse,seats,behalf,told,legislation,hold
7,hurt,sex,overseas,government,australia,community,act,said,despite,85,religious,leader,omit,postal,18,parties,1975,struck,territories,community,entered,contacted,substituting,indulgence,cathy,biological,prayer,conduct,appointment,pulpit,organisations,kennedy,years,believe,issue,voted,compromise,got,flag,children,partner,department
8,community,protections,law,million,rights,believe,assessment,know,right,throsby,categories,support,subsection,australian,declaration,national,debate,rose,overseas,couples,message,cowan,omitted,madam,behalf,family,years,lgbti,overseas,116,orthodox,delay,like,important,throsby,electorates,freedoms,vote,conscience,sex,loving,religious
9,sorry,beliefs,fundamental,sex,member,gippsland,amendments,lot,years,member,registered,opposition,substitute,respect,religion,turnbull,nondiscrimination,raised,superannuation,marriages,subsection,policy,immediate,statements,gender,union,god,vilification,chaplains,establishing,christianity,comments,campaign,way,matter,utterly,religion,resources,opposition,safe,community,electric
10,gift,conscientious,valid,200,opportunity,different,confirmed,priest,day,marry,civil,years,insert,result,treaties,vote,preference,support,child,years,section,say,words,30,bring,child,life,broadcasters,serving,imposing,state,protections,vote,live,letters,totally,antidiscrimination,imposed,vote,parents,heterosexual,flowers
11,discrimination,protect,laws,campaign,place,vote,dgr,dressed,parliament,removed,website,conference,section,australians,law,political,1967,unions,adoptions,men,thousands,vote,addressed,second,australia,relationship,stance,apply,personnel,prohibiting,federation,committee,proud,maranoa,emails,amending,protection,money,make,gilmore,family,play
12,debate,australians,understanding,opposition,joy,current,organisations,book,time,pieces,decide,free,act,freedoms,civil,just,ago,suggestion,territory,recognition,lesbian,greens,original,return,commitment,families,number,additional,conscientious,observance,agencies,think,hard,country,members,talking,exemptions,booklet,read,girls,sex,liberty
13,families,amendments,marriages,labor,country,issues,advice,really,reform,labor,lists,debate,paragraph,majority,tribunal,members,remained,children,relation,heterosexuals,exclusion,promises,inevitably,speaker,asking,traditional,story,fix,senate,protections,employment,legislation,finally,great,private,ask,committee,advertisements,noise,pointing,acceptable,event
14,love,views,1961,democracy,legislate,sex,unlikely,world,knows,matter,window,process,line,protections,basis,leader,1902,love,policy,say,government,labor,cunningham,suspension,community,sex,internal,australians,objection,australian,england,hatred,young,australians,conscience,refer,civil,parliament,amendments,bit,longterm,castle
15,week,belief,reiterated,parliament,time,way,unnecessary,dress,won,ending,celebrant,coalition,holds,sex,universal,room,late,foy,commonwealth,australian,life,stand,inquiry,defer,regional,mother,catholic,opportunity,forces,religious,catholic,don,time,courage,view,overwhelmingly,amendments,run,able,talk,couples,home
16,day,yes,country,question,equal,support,advancing,democracy,bells,churches,final,vote,organisations,participation,beliefs,government,equality,sides,australia,said,gay,promise,suggests,deputy,reverend,father,skin,relation,officers,strongest,bishop,supporting,want,senator,recognition,answer,marriages,funding,today,josh,think,happens
17,australia,house,australia,community,make,act,entity,thing,proud,expression,sex,conscience,body,change,nations,plebiscite,changes,okay,provisions,issue,discriminate,2010,honourable,question,like,love,conflict,statistics,select,section,schools,risk,long,moment,email,country,opposes,republic,object,right,spouse,want
18,campaign,believe,couples,way,work,important,amendment,country,ignorance,parliament,religion,important,purposes,western,hauled,member,australian,homophobic,provision,course,ordinary,matter,proceedings,start,lifetime,legislation,tell,debate,armed,test,religion,amendment,know,calare,relationship,areas,want,votes,checked,girl,area,education
19,yes,voted,countries,harm,regardless,relation,funding,rejected,belongs,amended,separate,percent,beliefs,issue,conscientiously,malcolm,sexual,father,federal,love,law,ha,view,orders,make,natural,wife,notwithstanding,improve,trust,australia,greens,really,place,certainly,special,celebrant,debate,letter,child,amendment,don
