,0,1,2,3,4,5,6,7
0,yes,freedom,discrimination,plebiscite,equality,child,charity,view
1,vote,religious,couple,government,love,woman,charitable,issue
2,survey,amendment,government,debate,parliament,man,commissioner,change
3,community,celebrant,sex,prime,member,family,amendment,member
4,lgbtiq,belief,relationship,australian,law,society,act,position
5,electorate,religion,adoption,labor,right,institution,entity,think
6,want,protection,superannuation,minister,party,parent,status,sex
7,percent,protect,act,australians,equal,relationship,charities,vote
8,australians,faith,amendment,vote,time,union,religious,debate
9,year,right,law,issue,let,sex,tax,election
10,friend,law,gay,parliament,discrimination,life,organisation,electorate
11,postal,vote,facto,million,prime,mother,relevant,parliament
12,young,church,lesbian,campaign,minister,change,purpose,matter
13,campaign,conscience,community,election,support,social,confirm,believe
14,like,senate,remove,opposition,work,love,assessment,party
15,gay,conscientious,member,lgbti,want,father,funding,conscience
16,result,civil,legislation,party,australians,law,dgr,support
17,thank,sex,commonwealth,democracy,make,raise,concern,definition
18,come,want,relation,make,lgbtiq,couple,provide,respect
19,australia,australians,labor,leader,marry,marry,law,percent
