,0,1,2,3,4,5,6
0,freedom,amendment,view,plebiscite,equality,child,charity
1,vote,celebrant,issue,prime,love,relationship,charitable
2,religious,religious,change,labor,lgbtiq,sex,commissioner
3,yes,freedom,think,minister,want,couple,act
4,percent,belief,member,government,time,institution,amendment
5,survey,religion,debate,debate,community,woman,entity
6,protection,senate,position,australian,vote,man,status
7,australians,right,sex,parliament,year,government,charities
8,australian,civil,election,equality,friend,family,religious
9,faith,solemnise,electorate,party,young,law,tax
10,view,want,vote,issue,yes,society,organisation
11,protect,protection,matter,australians,australians,act,relevant
12,postal,member,parliament,vote,right,gay,purpose
13,electorate,minister,believe,election,know,discrimination,confirm
14,sex,discrimination,support,opposition,like,union,law
15,respect,house,party,million,thank,legislation,assessment
16,belief,officer,community,leader,long,facto,faith
17,religion,law,like,make,family,parent,funding
18,result,category,conscience,lgbti,survey,adoption,dgr
19,change,committee,different,member,work,superannuation,provide
