,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,yes,freedom,children,plebiscite,equality,think,charities,school,love,discrimination,item,labor,entity,percent,amendments,prime,faith,kate,list,gay,flynn,man,adoption,expression,act,officer,daughter,relationships,regional,commonwealth,survey,religious,views,society,won,women,nation,pm,election,international,opposition,conscience,going,lgbtiq,fair
1,community,freedoms,parents,vote,australians,issue,charity,young,equality,sex,page,party,belief,yes,senate,minister,church,choice,perform,lesbian,act,woman,government,churches,definition,defence,wisdom,facto,wangaratta,religion,safeguards,celebrants,received,institution,love,indigenous,change,15,definition,rights,agreed,beliefs,got,australians,belongs
2,equality,religion,biological,australian,acknowledge,view,charitable,schools,equal,couples,schedule,member,relevant,survey,member,parliament,religious,liz,90,homosexuals,australians,community,intercountry,statement,institution,cdf,fisher,superannuation,bishop,shall,process,amendment,personal,woman,let,change,australian,debate,change,human,question,conscientious,don,equality,voted
3,friends,religious,child,issue,law,position,commissioner,want,attracted,act,omit,australian,person,electorate,debate,equality,god,mother,celebrants,homosexual,wishes,88e,couples,renewed,entered,force,church,relationship,rural,constitution,government,senate,sex,man,bigotry,changed,process,afternoon,position,freedom,read,assumption,think,want,love
4,lgbti,traditional,families,australians,support,views,status,lies,reform,labor,substitute,families,holds,vote,house,liberal,christian,deep,ceremonies,commitment,electorate,insert,states,commitment,government,authorised,coroner,government,indi,relation,community,ministers,member,union,going,married,debate,submitted,said,covenant,second,trumps,run,survey,respect
5,love,conscience,sex,debate,reality,debate,tax,protection,party,rights,line,members,section,voted,legislation,party,protections,family,category,australians,values,lesbian,sex,sex,contained,chaplain,privilege,discrimination,harry,qualification,provisions,refuse,electorate,children,sweet,years,lives,mpi,disdain,article,amendment,celebrant,know,time,day
6,thank,speech,love,government,parliament,parliament,religious,facilities,ready,remove,celebrant,leader,subsection,religious,delay,matter,state,uhlmann,opt,sex,change,subsection,attorney,slope,overseas,appointed,solomon,partner,australia,pulpit,postal,freedoms,throsby,relationship,bells,debate,make,90,coalition,belief,leader,primacy,church,long,australia
7,years,protections,mother,campaign,opportunity,gippsland,act,talk,vote,marry,subsection,government,act,postal,think,parties,organisations,struck,categories,couples,offer,message,territories,relation,fundamental,appointment,prayer,legislation,anglican,116,conduct,solemnise,constituents,traditional,ignorance,1975,calare,indulgence,contacted,declaration,substituting,belief,mob,community,australian
8,like,sex,family,million,rights,believe,assessment,right,country,ending,insert,opposition,paragraph,result,discrimination,national,orthodox,rose,religious,years,according,section,overseas,slippery,valid,overseas,years,loving,inner,prolong,lgbti,compromise,matter,social,despite,society,believe,madam,cowan,treaties,omitted,leave,little,hurt,yes
9,campaign,protect,social,lgbti,australia,community,amendments,told,knows,85,solemnise,support,vaa,protections,committee,room,based,support,registered,marriages,uphold,thousands,superannuation,defend,sex,chaplains,god,community,behalf,establishing,vilification,antidiscrimination,private,sanctity,sing,nondiscrimination,maranoa,statements,policy,religion,immediate,minor,lot,sorry,cousin
10,proud,amendments,institution,referendum,member,different,confirmed,girls,parliament,matter,authorised,conference,beliefs,sex,today,members,schools,raised,civil,community,mallee,gay,adoptions,view,understanding,personnel,life,heterosexual,like,observance,broadcasters,religion,email,exclusion,years,1967,important,30,say,18,words,article,said,discrimination,parliament
11,vote,australians,father,200,place,current,dgr,bit,laws,view,religious,years,purposes,respect,amendment,vote,bishop,unions,website,men,election,union,policy,parliament,laws,serving,stance,sex,make,imposing,apply,protection,emails,coalition,ring,preference,country,gallery,greens,basis,addressed,philosophy,really,debate,let
12,young,views,parent,sex,joy,sex,organisations,daughter,chance,equality,11,free,authority,freedoms,don,member,federation,love,decide,heterosexuals,undertaking,government,commonwealth,freedom,marriages,senate,number,family,references,prohibiting,australians,committee,letters,status,lies,ago,way,speaker,promises,law,original,religious,single,week,filled
13,finally,house,natural,opposition,legislate,issues,unlikely,electric,let,members,traditional,debate,contravention,australian,comments,plebiscite,catholic,suggestion,lists,recognition,persons,voluntarily,child,participated,law,objection,story,longterm,really,protections,additional,civil,conscience,christian,short,1902,live,second,labor,universal,cunningham,held,want,love,45th
14,hard,yes,consequences,labor,lgbti,support,advice,safe,stand,amendment,refusal,coalition,body,majority,risk,debate,england,foy,window,said,hold,discriminate,relation,legislation,country,forces,internal,acceptable,cities,section,fix,exemptions,contacted,law,violence,remained,courage,return,vote,nations,inevitably,pope,thing,families,equality
15,time,voted,legal,democracy,country,act,advancing,think,right,pieces,17,process,conduct,australians,won,just,run,sides,final,today,australian,entered,territory,couples,reiterated,officers,catholic,honourable,towns,religious,australian,opposes,issue,pillar,hate,late,great,suspension,matter,civil,inquiry,cardinal,saying,campaign,delivering
16,long,parental,marriages,question,make,vote,unnecessary,pointing,parties,2012,lines,vote,insert,participation,know,political,agencies,homophobic,sex,say,duty,ordinary,australia,denial,1961,conscientious,skin,couples,country,strongest,notwithstanding,want,members,stable,kennedy,australian,senator,defer,2010,hauled,suggests,18,world,day,diverse
17,know,beliefs,relationship,parliament,thank,changes,reason,play,situation,member,section,percent,organisations,views,canning,government,christianity,okay,celebrant,course,question,discriminatory,adopt,discrimination,australia,select,conflict,think,cathy,australian,statistics,marriages,certainly,bedrock,time,changes,moment,deputy,stand,tribunal,honourable,principle,seen,way,time
18,want,definition,just,way,human,change,fringe,betrayed,mps,points,religion,important,meaning,western,protections,turnbull,religion,alice,religion,love,vote,country,provisions,argument,couples,armed,tell,spouse,bring,test,opportunity,existing,recognition,family,big,case,place,start,ha,manifest,view,newman,just,gift,law
19,really,conscientious,legislation,funding,work,electorate,advocacy,wants,proud,amended,exemptions,senator,based,issue,rejected,house,maronite,constituents,separate,person,freedom,australia,federal,way,countries,improve,wife,lesbians,parkes,trust,relation,laws,view,relationships,fear,right,outcome,orders,know,limitations,proceedings,conscientiously,priest,pain,gift
