,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,topic,election,faith,equality,amendment,plebiscite,person,000,amendment,relationship,sex,amendment,child,line,debate,time,vote,support,member,equality,freedom,belief,view,vote,gay
1,moderate,debate,amendment,want,child,equality,belief,passion,religious,think,relationship,religious,sex,item,plebiscite,right,equality,come,view,love,sex,right,sex,amendment,government
2,gippsland,amendment,act,right,society,parliament,entity,passing,freedom,community,support,belief,couple,officer,equality,change,community,member,survey,member,religious,member,issue,freedom,sex
3,report,leave,organisation,think,love,minister,act,passage,law,law,niece,senate,family,religious,australians,make,love,issue,debate,parliament,change,human,vote,party,lesbian
4,compelling,position,base,community,debate,prime,relevant,pass,celebrant,sex,member,freedom,government,page,government,think,want,relation,australian,work,vote,australia,change,labor,couple
5,calm,make,discrimination,member,time,member,hold,pas,member,partner,marry,labor,relationship,schedule,change,want,time,presence,vote,right,law,religious,plebiscite,religious,relationship
6,question,clear,body,melbourne,think,vote,law,party,right,minister,legislation,minister,law,insert,labor,come,yes,community,community,party,view,civil,think,member,minister
7,judicial,ahead,purpose,lgbti,relationship,debate,engage,partnership,charity,matter,young,religion,support,chaplain,make,love,support,strong,make,make,australians,support,australian,conscience,issue
8,attract,australians,37,australians,make,australians,include,partner,protection,government,parliament,right,state,omit,issue,know,year,like,issue,law,definition,religion,parliament,western,prime
9,increase,member,section,percent,support,right,section,partly,religion,senate,like,committee,act,celebrant,vote,vote,right,work,support,equal,support,view,debate,percent,community
10,cabinet,labor,1984,legislation,member,issue,subsection,partisan,act,institution,think,discrimination,labor,authorised,minister,year,like,time,electorate,want,faith,question,member,sydney,discrimination
11,rate,greens,sex,000,institution,government,conduct,particularly,sex,acceptable,electorate,make,australia,amendment,community,man,know,commitment,change,labor,australian,international,support,right,legislation
12,suicide,letter,second,hard,come,million,express,particular,want,attorney,woman,want,legislation,substitute,support,thing,make,address,legislation,support,child,amendment,labor,greenway,child
13,leader,disdain,establish,australia,view,referendum,public,participatory,support,introduce,nephew,member,recognise,belief,prime,parliament,come,comment,religious,time,society,law,make,allow,amendment
14,change,opposition,time,play,recognise,job,authority,participation,vote,discrimination,partner,australians,institution,force,opposition,today,australians,introduce,australians,vote,right,homosexual,election,free,act
15,support,vote,reading,nation,equality,party,territory,participate,view,prime,oppose,house,community,subsection,year,marry,australia,continue,government,year,percent,work,couple,house,superannuation
16,self,want,tax,vote,legislation,make,state,participant,concern,amendment,vote,yes,adoption,solemnise,australian,good,electorate,need,sex,thank,amendment,seek,party,debate,australian
17,accept,today,insert,place,protection,matter,paragraph,partake,belief,time,child,party,member,section,australia,country,gay,witness,parliament,discrimination,man,sex,believe,reason,member
18,reconsider,issue,advance,state,issue,want,class,passionate,protect,australian,perspective,law,country,traditional,member,debate,family,meet,right,country,institution,freedom,respect,million,make
19,capable,government,senate,survey,union,child,court,passionately,organisation,commonwealth,eld,refuse,woman,conscientious,achieve,australians,survey,gay,way,know,believe,debate,act,australia,think
