,0,1,2,3,4,5,6,7,8,9,10
0,equality,freedom,couple,labor,plebiscite,child,charity,view,vote,amendment,celebrant
1,love,religious,sex,party,debate,man,charitable,issue,survey,senate,religious
2,lgbtiq,religion,discrimination,election,prime,woman,commissioner,think,yes,member,list
3,want,belief,government,member,australians,family,act,change,percent,house,category
4,time,protection,relationship,vote,parliament,society,status,debate,electorate,officer,solemnise
5,year,protect,adoption,opposition,australian,institution,entity,member,postal,want,perform
6,right,faith,law,change,government,parent,charities,sex,result,debate,civil
7,young,right,act,prime,minister,union,religious,position,australian,discrimination,90
8,friend,conscience,superannuation,promise,issue,relationship,amendment,community,religious,seek,religion
9,community,law,gay,position,equality,mother,tax,electorate,australians,think,item
10,know,amendment,facto,government,lgbti,social,organisation,believe,process,committee,line
11,australians,church,lesbian,coalition,million,life,relevant,different,respect,chaplain,schedule
12,family,view,remove,australian,vote,father,purpose,like,change,second,ceremony
13,like,traditional,commonwealth,issue,campaign,love,confirm,matter,support,legislation,page
14,law,sex,state,minister,make,sex,assessment,parliament,majority,time,belief
15,work,hold,legislation,policy,referendum,raise,law,way,community,make,minister
16,long,speech,heterosexual,leader,democracy,biological,funding,personal,sex,support,amendment
17,equal,international,community,debate,country,legislation,dgr,conscience,national,pass,register
18,thank,australians,australia,liberal,question,change,provide,know,participation,today,exemption
19,parliament,express,discriminate,definition,200,court,concern,support,debate,oppose,refuse
