,0,1,2,3,4,5,6,7,8,9
0,equality,sex,religious,religious,plebiscite,sex,rights,equality,person,faith
1,australians,discrimination,amendment,freedom,australian,couples,freedom,want,belief,act
2,yes,legislation,celebrants,amendments,parliament,children,amendments,love,entity,based
3,vote,rights,amendments,church,sex,government,sex,parliament,relevant,australia
4,religious,couples,religion,faith,debate,institution,religious,member,act,organisations
5,time,gay,page,protections,issue,relationships,australian,time,law,said
6,love,issue,item,charities,vote,law,amendment,community,conduct,section
7,survey,australia,schedule,view,government,act,freedoms,like,section,australians
8,want,member,officer,act,labor,woman,religion,just,public,established
9,community,law,line,law,party,society,legislation,country,state,country
10,support,debate,celebrant,religion,minister,man,traditional,place,subsection,sex
11,like,change,authorised,schools,australians,community,protect,discrimination,beliefs,body
12,sex,parliament,insert,amendment,prime,legislation,children,say,holds,discrimination
13,percent,act,omit,sex,think,relationship,right,vote,authority,1984
14,electorate,equality,conscientious,australia,say,definition,change,think,rights,37
coeffMax,0.999,0.998,0.999,0.996,0.999,0.999,0.999,0.999,0.928,0.875
coeffDiff,0.999,0.997,0.999,0.996,0.999,0.999,0.999,0.999,0.857,0.771
speechId,48859,34414,49030,49048,45061,13235,48873,48805,49017,49061
topicCount,112,14,9,15,93,34,6,24,2,3
percentage,35.9,4.5,2.9,4.8,29.8,10.9,1.9,7.7,0.6,1.0
