,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,lgbtiq,freedom,adoption,plebiscite,equality,views,charities,going,love,discrimination,celebrants,labor,entity,amendments,international,survey,women,kate,pm,gay,children,election,daughter
1,equality,religious,government,australian,prime,issue,charity,don,let,sex,religious,party,item,senate,rights,percent,indigenous,mother,opposition,relationships,institution,definition,church
2,community,religion,couples,debate,minister,view,charitable,got,equal,couples,list,leader,page,amendment,article,yes,change,choice,second,lesbian,man,position,wisdom
3,yes,freedoms,sex,australians,parliament,think,commissioner,think,fair,act,90,opposition,belief,committee,freedom,electorate,changed,deep,question,community,woman,change,fisher
4,survey,faith,act,issue,australians,community,status,want,parliament,remove,perform,member,schedule,discrimination,belief,postal,years,liz,15,superannuation,society,said,coroner
5,want,protections,overseas,vote,matter,debate,tax,really,marry,rights,category,members,insert,member,human,voted,married,family,debate,facto,union,coalition,god
6,long,protect,intercountry,government,parties,parliament,religious,church,day,labor,civil,government,officer,won,covenant,vote,society,uhlmann,submitted,government,parents,disdain,privilege
7,australians,traditional,states,lgbti,liberal,sex,act,know,person,equality,ceremonies,families,subsection,want,18,australian,debate,struck,read,minister,relationship,say,solomon
8,time,speech,attorney,million,law,believe,amendments,young,gay,85,celebrant,australian,omit,celebrants,religion,respect,ago,children,afternoon,prime,social,vote,prayer
9,thank,australians,law,campaign,member,position,assessment,like,years,amendment,solemnise,prime,authorised,house,declaration,result,australian,support,reading,relationship,biological,cowan,years
10,friends,conscience,provisions,referendum,party,conscience,organisations,said,attracted,marry,religion,support,substitute,don,beliefs,australians,law,raised,amendment,discrimination,families,policy,life
11,campaign,beliefs,australia,parliament,country,personal,entity,lot,laws,member,opt,liberal,person,religious,conscience,religious,equality,rose,agreed,loving,family,contacted,number
12,lgbti,church,commonwealth,democracy,plebiscite,different,confirmed,school,time,removed,amendment,conscience,section,debate,treaties,sex,changes,unions,house,couples,sex,greens,stance
13,like,protection,territories,sex,turnbull,electorate,dgr,regional,despite,throsby,ministers,minister,chaplain,greens,civil,process,1975,suggestion,speaker,legislation,traditional,labor,catholic
14,proud,amendment,definition,200,australia,matter,relevant,say,right,relationship,categories,vote,relevant,think,tribunal,freedoms,laws,father,mpi,partner,definition,promises,story
15,young,amendments,measures,opposition,government,member,funding,bishop,young,view,decide,free,line,today,law,majority,preference,sex,leader,heterosexual,child,stand,internal
16,years,christian,countries,question,equal,change,advice,country,country,facto,registered,debate,religious,legislation,basis,change,case,love,member,family,legislation,2010,skin
17,love,state,country,change,vote,support,advancing,saying,won,state,website,issue,act,let,nations,protections,nondiscrimination,sides,speech,homosexual,act,promise,tell
18,finally,express,institution,community,right,members,services,talk,vote,pieces,freedoms,coalition,paragraph,delay,universal,participation,commonwealth,constituents,speeches,living,exclusion,issue,wife
19,acknowledge,voted,laws,way,children,current,unnecessary,wangaratta,proud,churches,final,years,solemnise,report,conscientiously,views,australians,foy,indulgence,sex,life,clear,conflict
