,0,1,2,3,4,5,6,7,8,9,10,11,12
0,vote,belief,vote,change,equality,want,faith,discrimination,government,issue,religious,sex,equality
1,yes,person,plebiscite,member,love,make,australians,view,sex,member,freedom,child,lgbtiq
2,equality,act,australians,life,parliament,think,religious,community,adoption,think,amendment,relationship,want
3,electorate,entity,debate,like,member,young,percent,institution,issue,view,vote,couple,australians
4,support,religious,equality,today,party,like,life,relationship,view,labor,view,law,community
5,love,section,parliament,just,prime,change,man,remove,couple,change,right,family,right
6,bendigo,relevant,make,come,minister,equality,god,couple,australian,debate,protection,love,member
7,community,subsection,australian,great,equal,australians,woman,sex,provision,sex,religion,right,work
8,want,line,change,year,time,talk,christianity,state,state,party,law,support,thank
9,place,insert,issue,stand,right,right,sex,result,change,support,sex,gay,love
10,like,item,community,right,country,vote,christian,case,debate,vote,belief,marry,know
11,campaign,hold,yes,make,achieve,today,institution,recognise,make,parliament,member,time,lgbti
12,come,officer,time,course,law,house,community,electorate,support,election,support,community,make
13,acknowledge,page,right,australian,debate,tell,country,member,law,government,protect,make,discrimination
14,just,law,support,place,work,debate,society,church,community,australian,church,change,vote
15,ask,schedule,year,hear,matter,time,form,personal,matter,act,want,woman,just
16,story,amendment,want,support,sponsor,life,survey,commonwealth,question,believe,australians,equality,long
17,percent,omit,australia,gay,reform,way,church,woman,country,position,hold,discrimination,survey
18,friend,celebrant,government,live,good,hold,australia,long,commitment,definition,allow,legislation,time
19,family,include,member,issue,stand,thing,view,survey,respect,time,house,man,labor
