,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,equality,freedom,sex,plebiscite,equality,child,charity,community,vote,amendment,officer,celebrant,family,entity,church,view,international
1,lgbtiq,religious,couple,debate,love,institution,charitable,gay,survey,member,chaplain,list,mother,item,faith,issue,belief
2,love,protection,discrimination,government,parliament,society,commissioner,want,percent,senate,force,religious,choice,belief,god,change,article
3,australians,protect,relationship,australian,party,woman,charities,young,yes,house,appoint,category,kate,page,religious,position,human
4,friend,religion,government,labor,prime,man,status,think,electorate,debate,authorised,perform,child,subsection,catholic,election,rights
5,thank,amendment,adoption,australians,minister,parent,religious,talk,postal,discrimination,defence,90,deep,schedule,protection,think,covenant
6,long,belief,superannuation,prime,vote,family,act,school,australian,seek,cdf,civil,support,omit,service,member,right
7,year,conscience,facto,issue,member,union,tax,come,result,opposition,senate,ceremony,liz,section,run,debate,law
8,yes,traditional,gay,minister,equal,relationship,amendment,know,respect,second,appointment,religion,sex,relevant,year,sex,18
9,community,australians,remove,vote,right,social,confirm,like,australians,support,overseas,solemnise,equality,person,business,party,religion
10,want,sex,law,parliament,law,definition,assessment,really,process,want,serve,register,uhlmann,act,religion,believe,freedom
11,fight,vote,act,million,let,change,organisation,regional,religious,think,armed,opt,love,substitute,state,definition,treaty
12,time,speech,lesbian,opposition,country,law,purpose,country,majority,legislation,military,freedom,constituent,insert,debate,matter,declaration
13,family,right,commonwealth,campaign,liberal,legislation,dgr,australia,support,today,insert,amendment,rose,line,life,parliament,civil
14,campaign,faith,labor,election,time,act,law,relationship,change,delay,amendment,website,father,organisation,christian,conscience,basis
15,survey,view,state,lgbti,allow,australian,concern,time,view,contribution,conscientious,final,meet,paragraph,bishop,vote,conscience
16,proud,express,heterosexual,democracy,work,biological,affect,thing,sex,committee,religious,minister,nurture,religious,fisher,act,point
17,like,want,relation,make,sponsor,enter,funding,make,participation,read,belief,sex,strike,solemnise,daughter,support,hold
18,acknowledge,law,legislation,leader,achieve,life,advice,ask,national,make,personnel,day,school,body,law,express,tribunal
19,discrimination,conscientious,area,referendum,reform,define,provide,live,western,time,select,wedding,marry,refusal,facility,electorate,manifest
