,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,change,government,plebiscite,religious,freedom,person,pioneer,relationship,view,charity,organisation,amendment,equality,sex
1,debate,labor,government,celebrant,religious,belief,posturing,community,issue,member,faith,child,vote,support
2,issue,support,australian,amendment,vote,act,rewrite,think,sex,view,want,sex,love,church
3,make,australian,parliament,line,amendment,entity,curiosity,discrimination,member,discrimination,base,couple,want,family
4,right,party,sex,religion,view,relevant,collateral,law,change,amendment,act,law,time,party
5,think,debate,issue,item,protection,officer,dissolution,man,think,law,right,act,australians,child
6,community,vote,debate,page,australians,section,pop,sex,support,act,religious,government,right,life
7,equality,member,minister,schedule,australian,hold,weird,partner,vote,australia,church,definition,community,know
8,sex,want,prime,solemnise,right,law,preferably,woman,right,relationship,purpose,legislation,make,labor
9,member,issue,vote,minister,sex,subsection,fascinating,time,community,institution,body,man,year,election
10,view,think,member,belief,percent,chaplain,magnificent,place,debate,sex,section,woman,yes,love
11,support,minister,labor,omit,yes,include,mandela,want,electorate,case,facility,australia,support,year
12,society,equality,make,substitute,support,conduct,ironic,thing,parliament,couple,establish,family,know,issue
13,parliament,australia,community,civil,belief,engage,jewish,god,believe,religious,discrimination,adoption,like,parent
14,relationship,australians,australians,traditional,law,public,45th,believe,couple,purpose,greenway,state,australia,member
15,time,amendment,change,member,faith,state,terry,right,act,charitable,migrant,institution,member,come
16,just,make,law,insert,survey,express,taxi,make,discrimination,state,amendment,country,parliament,like
17,party,family,gay,senate,religion,insert,enormously,change,matter,change,freedom,seek,law,debate
18,family,plebiscite,party,allow,change,force,prolong,christianity,time,concern,37,australian,family,tell
19,want,need,think,category,protect,territory,troop,happen,make,legislation,1984,society,country,mother
