,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,issue,election,faith,state,love,plebiscite,person,consequential,amendment,relationship,niece,religious,sex,officer,debate,time,vote,traditional,member,equality,freedom,right,view
1,support,debate,act,equality,society,parliament,belief,cost,religious,think,sex,freedom,couple,item,plebiscite,change,equality,issue,support,love,religious,belief,sex
2,australian,leave,organisation,want,great,equality,entity,ethical,member,community,relationship,amendment,government,religious,australians,right,community,support,issue,member,sex,human,vote
3,debate,amendment,base,right,believe,minister,act,procedure,charity,law,support,religion,child,line,government,think,want,come,debate,parliament,vote,civil,change
4,community,make,purpose,think,time,prime,relevant,dna,law,partner,nephew,protection,relationship,page,equality,vote,love,member,view,party,view,include,issue
5,plebiscite,position,body,really,child,member,hold,surrogacy,right,sex,member,belief,family,schedule,labor,view,yes,relation,make,law,change,question,think
6,change,australians,section,love,think,vote,law,likely,act,minister,marry,right,law,insert,make,issue,time,lot,community,right,australians,law,member
7,believe,clear,sex,australia,freedom,debate,engage,donor,celebrant,matter,young,law,act,chaplain,change,man,support,change,legislation,work,australian,religious,labor
8,leader,letter,37,play,relationship,issue,section,custom,freedom,government,legislation,want,gay,omit,vote,year,right,like,survey,time,law,seek,parliament
9,gippsland,disdain,1984,house,institution,right,subsection,medical,think,institution,woman,minister,legislation,authorised,issue,make,year,community,change,australians,faith,view,election
10,party,greens,establish,just,good,government,conduct,potential,sex,discrimination,like,member,australian,celebrant,australian,debate,like,presence,australian,want,support,member,australian
11,view,today,discrimination,recognise,debate,australians,include,egg,vote,acceptable,think,celebrant,support,substitute,process,woman,come,time,sex,make,percent,matter,debate
12,sex,vote,religious,freedom,term,party,express,genetic,concern,attorney,parliament,protect,australia,amendment,support,come,make,strong,think,vote,definition,international,party
13,fair,opposition,amendment,guitar,come,make,authority,nucleus,support,senate,electorate,senate,discrimination,belief,year,know,know,register,government,equal,yes,australia,plebiscite
14,parliament,member,insert,tasmania,right,million,public,cope,view,prime,oppose,make,community,force,minister,parliament,australians,discrimination,electorate,support,right,sex,support
15,vote,issue,employment,lot,support,referendum,territory,paramount,want,introduce,child,house,institution,subsection,opposition,marry,australia,think,place,labor,society,work,respect
16,opposition,want,tax,church,thing,job,state,consequence,organisation,crisis,vote,labor,woman,solemnise,community,like,electorate,work,way,year,protection,gender,make
17,respectful,government,right,thing,equality,child,paragraph,incur,hold,time,partner,discrimination,state,conscientious,way,community,gay,coalition,matter,discrimination,amendment,rights,couple
18,minister,labor,advance,record,recognise,matter,class,custody,reason,believe,perspective,equality,man,section,prime,good,just,need,parliament,thank,belief,support,definition
19,need,australia,subsection,australian,make,need,vaa,rude,legislation,thing,eld,australians,country,appoint,just,love,family,2008,vote,country,believe,amendment,right
