,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,discrimination,election,amendment,equality,love,plebiscite,person,child,amendment,relationship,john,freedom,sex,line,plebiscite,time,vote,issue,view,equality,sex
1,view,definition,second,think,amendment,parliament,belief,legislation,religious,think,sex,amendment,couple,item,debate,right,community,work,member,love,freedom
2,couple,labor,house,state,support,equality,entity,issue,member,sex,niece,religious,government,officer,change,change,equality,support,vote,member,religious
3,institution,debate,member,australia,view,minister,act,social,act,community,relationship,religion,child,religious,australian,love,want,belief,issue,parliament,view
4,sex,position,consider,member,believe,prime,relevant,propose,charity,discrimination,legislation,right,family,page,government,know,yes,come,sex,want,change
5,relationship,change,senate,vote,society,vote,hold,public,right,faith,hear,belief,relationship,schedule,labor,think,year,lot,debate,right,vote
6,remove,vote,reading,want,think,member,law,cost,celebrant,partner,partner,protection,support,insert,issue,make,love,act,change,work,law
7,community,issue,read,place,time,debate,section,consider,freedom,base,support,law,law,chaplain,vote,life,time,think,parliament,make,australians
8,australian,party,school,community,debate,government,engage,health,law,government,couple,member,gay,omit,australians,come,support,question,support,australians,right
9,support,know,gallery,right,child,issue,include,consequence,sex,institution,arthur,labor,act,celebrant,make,man,like,address,think,time,definition
10,year,make,detailed,melbourne,freedom,australians,subsection,consequential,vote,law,maybe,senate,australian,authorised,sex,year,right,woman,australian,party,faith
11,issue,member,oppose,democracy,great,make,conduct,mother,religion,minister,properly,want,member,substitute,opposition,good,make,man,make,law,society
12,state,clear,delay,survey,member,right,public,legal,organisation,organisation,child,protect,labor,amendment,support,parliament,know,like,community,support,australian
13,commonwealth,greens,detriment,lgbti,make,million,express,biological,view,amendment,eld,minister,legislation,subsection,year,marry,come,relation,electorate,vote,support
14,woman,leave,clerk,australians,come,party,authority,father,support,senate,80,conscience,australia,force,equality,issue,australians,continue,believe,equal,woman
15,case,come,product,hard,australian,campaign,state,raise,want,section,second,make,issue,belief,way,want,electorate,definition,survey,labor,child
16,leader,opposition,disagreement,love,right,lgbti,territory,change,discrimination,matter,week,human,community,solemnise,process,equality,survey,community,party,discrimination,man
17,term,want,kennedy,year,issue,referendum,paragraph,likely,concern,attorney,perspective,australians,think,section,question,debate,australia,change,legislation,year,percent
18,recognise,matter,contribution,long,institution,want,class,society,faith,act,leader,support,state,traditional,think,thing,family,able,way,thank,couple
19,believe,government,canning,law,relationship,public,make,parent,reason,acceptable,deeply,discrimination,make,conscientious,just,today,gay,status,religious,family,institution
