,0,1,2,3,4,5,6,7,8,9,10,11
0,freedom,vote,vote,officer,equality,religious,party,change,john,sex,change,plebiscite
1,amendment,love,woman,chaplain,vote,belief,member,make,couple,couple,view,equality
2,religious,equality,time,authorised,community,amendment,vote,think,hear,government,vote,minister
3,church,time,relationship,force,love,person,debate,point,properly,law,issue,prime
4,faith,think,think,insert,australians,act,equality,article,arthur,child,sex,australians
5,protection,want,law,appoint,time,freedom,parliament,way,leader,view,think,parliament
6,school,bendigo,community,defence,right,religion,labor,important,maybe,australian,support,right
7,protect,make,man,amendment,want,celebrant,plebiscite,view,superannuation,relationship,debate,government
8,right,come,make,want,make,law,prime,society,howard,support,member,vote
9,support,australia,right,position,support,hold,minister,public,opposition,issue,parliament,debate
10,want,amendment,today,overseas,yes,entity,make,nation,way,change,plebiscite,make
11,sex,state,like,marry,year,right,government,life,whitlam,right,australian,lgbti
12,vote,yes,australia,religious,member,section,support,decision,debt,act,make,community
13,view,like,electorate,line,survey,protection,issue,australian,deficit,legislation,believe,million
14,know,party,legislation,time,australia,organisation,election,express,tell,member,electorate,campaign
15,place,today,know,vote,family,charity,love,want,concerned,discrimination,respect,australia
16,speech,member,society,serve,like,relevant,opposition,deeply,advocate,family,party,job
17,come,right,change,man,come,subsection,australian,legislation,child,institution,labor,law
18,law,thing,issue,cdf,law,include,want,try,week,make,year,want
19,house,year,bishop,newcastle,know,page,house,place,wait,amendment,community,party
