,0,1,2,3,4,5,6
0,issue,equality,sex,religious,person,equality,issue
1,member,parliament,relationship,freedom,belief,love,plebiscite
2,support,right,child,amendment,act,vote,vote
3,come,sex,couple,vote,entity,want,change
4,advocate,member,government,view,relevant,community,debate
5,time,plebiscite,family,right,religious,time,view
6,relation,vote,legislation,protection,section,year,australian
7,campaign,law,support,sex,subsection,right,think
8,like,australians,law,law,page,support,make
9,strong,change,woman,belief,item,like,sex
10,argument,minister,institution,religion,officer,australians,parliament
11,course,make,man,support,hold,make,member
12,comment,prime,society,member,insert,yes,community
13,debate,debate,community,faith,line,know,support
14,think,couple,member,percent,schedule,family,labor
15,work,government,australian,australians,law,come,election
16,make,issue,act,protect,omit,australia,government
17,advocacy,love,discrimination,church,amendment,friend,party
18,traditional,time,view,australian,include,today,believe
19,need,party,change,want,authorised,survey,way
