,0,1,2,3,4
0,sex,religious,equality,government,equality
1,couples,freedom,plebiscite,australian,yes
2,community,amendments,vote,labor,survey
3,discrimination,belief,parliament,election,love
4,government,religion,debate,sex,australians
5,law,act,australians,plebiscite,time
6,legislation,person,sex,debate,community
7,relationships,amendment,think,issue,vote
8,gay,law,said,definition,want
9,children,sex,say,support,electorate
10,australian,faith,party,party,like
11,issue,freedoms,want,say,percent
12,support,beliefs,labor,vote,religious
13,parliament,protections,change,families,voted
14,act,rights,issue,change,australia
topicCount,76,64,107,10,55
percentage,0.24,0.21,0.34,0.03,0.18
