,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,amendment,law,equality,plebiscite,child,change,troop,vote,vote,amendment,person,support,item,illawarra,church,community
1,religious,freedom,love,parliament,relationship,equality,119,plebiscite,view,religious,belief,life,page,today,want,gay
2,freedom,sex,vote,minister,sex,law,pop,yes,issue,act,act,man,line,time,facility,sex
3,right,religious,australians,prime,woman,right,descended,campaign,change,freedom,entity,family,schedule,pm,run,government
4,celebrant,right,want,equality,couple,vote,bell,change,debate,charity,relevant,love,insert,15,business,couple
5,religion,view,make,government,society,australia,prolong,debate,australian,faith,hold,sex,omit,little,right,issue
6,protection,support,time,right,institution,year,connected,public,sex,protection,law,issue,celebrant,leave,play,support
7,belief,change,member,debate,man,marry,posturing,member,think,member,include,make,religious,single,guitar,make
8,sex,member,right,member,act,time,finalise,australians,support,belief,conduct,year,substitute,port,freedom,relationship
9,civil,australians,parliament,vote,think,debate,sudden,equal,electorate,organisation,section,australia,authorised,dress,religious,legislation
10,member,australia,family,australians,family,think,packet,support,percent,officer,engage,know,subsection,wollongong,house,australian
11,law,discrimination,support,issue,change,indigenous,closed,referendum,parliament,law,territory,woman,traditional,speech,electric,lesbian
12,want,amendment,year,law,parent,like,unify,make,plebiscite,support,subsection,want,solemnise,night,amendment,family
13,senate,community,community,community,definition,state,crossbencher,house,member,religion,public,gay,belief,simon,home,child
14,make,couple,country,want,support,australian,confusion,think,make,chaplain,express,law,section,flag,member,member
15,house,time,know,make,recognise,woman,player,law,labor,purpose,state,couple,conscientious,13,think,right
16,allow,make,lgbtiq,australia,right,today,countenance,case,yes,base,authority,equality,minister,priest,protection,year
17,vote,church,friend,party,love,country,avalanche,amendment,party,vote,make,marry,religion,just,tell,change
18,debate,want,work,just,union,australians,advertisement,right,believe,sex,court,church,person,make,vote,australia
19,support,believe,australia,come,law,place,slight,view,australians,view,class,mother,woman,speaker,use,adoption
