,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,equality,freedom,sex,view,plebiscite,child,charity,community,vote,amendment,officer,celebrant,family,love,church,belief
1,lgbtiq,religious,couple,issue,debate,institution,charitable,gay,survey,senate,item,list,mother,equality,faith,international
2,australians,protection,discrimination,change,government,society,commissioner,want,percent,member,chaplain,religious,child,party,religious,article
3,law,protect,relationship,position,prime,woman,charities,young,yes,house,authorised,category,choice,parliament,god,human
4,survey,religion,government,election,australian,man,status,love,electorate,debate,belief,perform,kate,prime,protection,rights
5,discrimination,amendment,adoption,think,labor,union,act,like,postal,want,insert,90,equality,vote,catholic,covenant
6,long,belief,superannuation,member,minister,parent,tax,know,australian,seek,page,civil,sex,minister,service,right
7,time,traditional,facto,debate,australians,family,religious,year,result,think,subsection,ceremony,deep,equal,run,18
8,labor,australians,gay,sex,issue,relationship,amendment,come,respect,second,schedule,religion,support,let,bishop,conscience
9,thank,conscience,law,matter,parliament,definition,entity,relationship,australians,opposition,omit,solemnise,liz,member,business,religion
10,lgbti,sex,act,believe,vote,law,confirm,today,process,discrimination,entity,opt,love,liberal,religion,freedom
11,member,speech,remove,definition,million,social,organisation,time,majority,support,appoint,register,school,allow,christian,hold
12,work,law,lesbian,parliament,opposition,change,purpose,feel,change,legislation,substitute,freedom,uhlmann,right,state,law
13,acknowledge,faith,commonwealth,party,lgbti,legislation,assessment,really,support,committee,force,amendment,father,country,facility,treaty
14,australia,view,state,conscience,election,act,relevant,friend,religious,make,line,website,constituent,sponsor,organisation,declaration
15,right,right,heterosexual,support,party,enter,dgr,life,participation,today,religious,final,parent,attract,debate,basis
16,friend,express,labor,electorate,make,australian,funding,think,sex,time,section,minister,rose,time,hold,civil
17,campaign,vote,legislation,act,campaign,biological,provide,live,view,read,person,sex,meet,reform,year,point
18,family,want,relation,vote,democracy,life,concern,talk,national,delay,defence,day,nurture,work,life,manifest
19,senator,australian,area,express,equality,traditional,affect,yes,question,contribution,cdf,commonwealth,marry,know,law,tribunal
