,0,1,2,3,4,5,6,7
0,survey,religious,government,plebiscite,equality,issue,charities,children
1,yes,freedom,couples,prime,love,views,charity,institution
2,percent,amendments,discrimination,government,parliament,think,charitable,man
3,electorate,religion,sex,australian,lgbtiq,view,commissioner,society
4,voted,celebrants,superannuation,labor,time,position,entity,woman
5,postal,amendment,relationships,minister,want,election,status,sex
6,community,freedoms,adoption,debate,equal,change,amendments,union
7,vote,beliefs,gay,australians,right,debate,act,parents
8,religious,belief,facto,vote,discrimination,sex,religious,family
9,australians,protections,community,parliament,years,member,tax,social
10,result,rights,act,issue,young,party,organisations,relationship
11,freedoms,senate,legislation,million,australians,parliament,relevant,life
12,australian,conscience,labor,lgbti,member,conscience,assessment,law
13,process,faith,lesbian,party,let,vote,faith,mother
14,said,protection,amendment,opposition,long,matter,funding,definition
15,campaign,civil,commonwealth,democracy,country,believe,based,act
16,lgbtiq,conscientious,law,election,today,definition,confirmed,families
17,respect,celebrant,relation,leader,proud,said,dgr,biological
18,australia,solemnise,rights,campaign,like,electorate,amendment,couples
19,protections,ministers,australia,referendum,australia,opposition,services,legislation
