,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,community,freedom,children,plebiscite,equality,views,charities,amendments,kate,sex,celebrants,election,entity,survey
1,want,religion,institution,prime,love,view,charity,senate,mother,couples,religious,labor,item,percent
2,gay,religious,society,debate,parliament,issue,charitable,amendment,church,government,list,party,belief,yes
3,like,conscience,man,parliament,australians,think,commissioner,member,choice,discrimination,90,position,page,postal
4,young,rights,woman,minister,equal,sex,status,house,deep,superannuation,perform,opposition,officer,electorate
5,lgbtiq,freedoms,union,australian,minister,parliament,religious,think,family,adoption,civil,change,schedule,voted
6,years,belief,parents,australians,lgbtiq,debate,tax,debate,liz,relationships,category,definition,insert,religious
7,yes,faith,relationship,government,prime,position,act,don,uhlmann,facto,religion,australian,subsection,australian
8,time,protections,social,vote,time,believe,amendments,want,children,gay,amendment,coalition,omit,vote
9,today,beliefs,definition,lgbti,let,conscience,organisations,going,sex,act,solemnise,vote,authorised,australians
10,know,protect,sex,million,discrimination,change,assessment,won,struck,commonwealth,celebrant,government,person,result
11,love,international,act,issue,laws,matter,confirmed,committee,support,lesbian,ministers,said,section,freedoms
12,long,traditional,legislation,referendum,right,electorate,entity,legislation,raised,legislation,ceremonies,leader,substitute,respect
13,really,protection,law,campaign,party,member,dgr,today,rose,law,freedoms,issue,relevant,process
14,got,speech,biological,democracy,australia,different,funding,time,life,rights,refuse,debate,chaplain,protections
15,just,law,family,200,law,personal,services,discrimination,unions,labor,opt,disdain,act,sex
16,campaign,human,australian,equality,country,act,relevant,second,father,community,decide,policy,line,majority
17,thank,amendment,families,community,member,community,advice,let,sides,heterosexual,categories,member,paragraph,change
18,don,amendments,marriages,question,proud,members,advancing,say,suggestion,amendment,principle,promise,religious,views
19,said,conscientious,entered,opposition,rights,support,law,delay,equality,states,registered,say,conscientious,participation
