,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,lgbtiq,freedom,discrimination,plebiscite,equality,child,charity,school,adoption,amendment,officer,change,kate,love,church,entity,belief,celebrant,pm,gay,vote,view
1,equality,religious,sex,australian,prime,society,charitable,young,government,senate,chaplain,indigenous,choice,equality,faith,item,international,list,opposition,lesbian,survey,issue
2,community,protection,relationship,debate,minister,institution,commissioner,want,couple,member,force,woman,mother,let,god,belief,article,category,debate,community,percent,election
3,survey,religion,couple,government,party,man,charities,think,sex,discrimination,appoint,law,family,vote,religious,page,human,religious,second,homosexual,yes,position
4,friend,protect,remove,labor,parliament,woman,status,talk,law,celebrant,authorised,debate,liz,equal,catholic,schedule,rights,perform,15,government,electorate,change
5,thank,belief,facto,australians,member,parent,amendment,really,provision,committee,defence,year,deep,time,service,subsection,covenant,90,speech,discriminate,postal,think
6,yes,traditional,member,issue,liberal,family,act,regional,act,house,cdf,society,support,fair,run,omit,right,civil,gallery,man,result,member
7,family,conscience,view,campaign,matter,relationship,religious,like,country,religious,senate,think,equality,day,protection,section,freedom,ceremony,question,relationship,australian,party
8,long,australians,act,million,labor,union,tax,know,overseas,want,appointment,marry,uhlmann,marry,business,relevant,18,opt,member,superannuation,respect,definition
9,australians,amendment,superannuation,vote,vote,social,confirm,come,intercountry,support,serve,ago,sex,right,fisher,person,religion,religion,read,issue,australians,debate
10,campaign,speech,amend,lgbti,achieve,biological,assessment,country,attorney,debate,overseas,reflect,child,law,daughter,substitute,conscience,register,leave,minister,majority,believe
11,want,faith,legislation,election,leader,definition,purpose,community,territory,think,armed,institution,love,parliament,bishop,act,treaty,solemnise,house,prime,support,matter
12,time,law,commitment,sex,law,mother,organisation,vote,state,oppose,insert,australian,rose,belong,wisdom,insert,law,website,leader,year,change,parliament
13,fight,vote,right,opposition,government,legislation,dgr,ask,australia,propose,military,right,constituent,country,life,line,declaration,freedom,speaker,australian,view,conscience
14,lgbti,sex,heterosexual,democracy,work,father,concern,make,adopt,compromise,conscientious,case,strike,hope,christian,organisation,hold,final,afternoon,reform,sex,vote
15,feel,express,labor,referendum,national,traditional,affect,thing,contain,delay,personnel,campaign,nurture,proud,tell,paragraph,basis,day,grant,heterosexual,process,express
16,year,view,law,change,sponsor,define,entity,wangaratta,matter,seek,religious,thing,father,respect,year,religious,point,sex,mpi,live,religious,sex
17,proud,right,support,parliament,right,life,funding,rural,enter,pass,belief,1967,meet,today,facility,solemnise,civil,wedding,time,woman,participation,electorate
18,work,want,piece,make,turnbull,raise,advice,australia,commonwealth,labor,select,australians,life,australia,religion,body,manifest,window,suspension,couple,national,labor
19,hard,australian,family,process,country,change,provide,need,measure,consider,objection,civil,suggestion,year,privilege,refusal,tribunal,decide,indulgence,australia,western,different
