,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,debate,view,plebiscite,religious,sex,vote,view,vote,belief,religious,equality,equality,officer,amendment,government,sex,freedom
1,issue,religious,equality,celebrant,child,change,sex,sydney,person,charity,love,sex,chaplain,business,australian,discrimination,amendment
2,member,faith,member,line,change,debate,member,electorate,act,law,vote,love,discrimination,tasmania,sex,couple,religious
3,vote,percent,parliament,item,couple,view,community,greenway,entity,freedom,time,australians,relationship,belief,issue,think,vote
4,government,vote,minister,page,law,election,think,migrant,law,amendment,right,support,authorised,religious,plebiscite,member,right
5,think,amendment,party,schedule,woman,think,right,survey,relevant,community,community,gay,force,church,labor,point,protection
6,equality,australians,vote,omit,act,issue,parliament,western,hold,act,want,want,defence,organisation,community,view,religion
7,year,change,prime,solemnise,man,make,equality,calare,include,status,make,year,amendment,way,debate,labor,member
8,support,sex,debate,substitute,relationship,electorate,support,gilmore,public,charitable,parliament,marry,insert,support,couple,right,sex
9,australia,support,want,religion,society,survey,commitment,percent,conduct,church,australians,make,member,think,gay,support,support
10,community,australian,make,belief,member,australian,religious,marry,section,view,family,religious,appoint,rodney,minister,act,belief
11,labor,law,australians,minister,legislation,position,believe,ethnic,religious,work,support,vote,remove,event,prime,amendment,conscience
12,plebiscite,protection,labor,amendment,family,result,family,national,express,purpose,know,like,woman,hold,support,important,want
13,time,state,change,traditional,government,process,matter,nation,engage,commissioner,law,change,couple,facility,parliament,attorney,protect
14,like,yes,right,section,support,yes,make,legislation,right,concern,yes,right,institution,community,make,australia,house
15,way,respect,government,subsection,institution,believe,labor,australian,organisation,reason,come,community,man,care,lesbian,make,church
16,make,freedom,just,insert,definition,australians,couple,yes,purpose,protect,like,law,state,work,family,issue,view
17,australian,survey,know,category,make,member,party,seat,subsection,hold,australia,time,sex,greens,think,love,senate
18,australians,electorate,issue,refuse,issue,support,survey,background,state,equality,long,couple,view,today,party,state,debate
19,question,debate,think,list,time,way,issue,result,make,school,year,today,facto,able,view,try,allow
