,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,equality,freedom,sex,view,plebiscite,child,charity,community,vote,amendment,officer,celebrant,family,entity,church
1,love,religious,couple,issue,debate,institution,charitable,want,survey,member,chaplain,religious,child,belief,faith
2,parliament,belief,discrimination,change,government,society,commissioner,lgbtiq,percent,senate,force,list,mother,item,religious
3,law,religion,relationship,think,prime,woman,charities,gay,yes,house,appoint,category,choice,page,protection
4,party,protect,government,position,australian,man,status,young,electorate,debate,authorised,perform,kate,subsection,god
5,right,protection,adoption,election,labor,parent,religious,year,postal,think,defence,90,sex,schedule,catholic
6,member,amendment,superannuation,member,minister,union,act,like,australian,want,cdf,civil,support,omit,run
7,equal,conscience,facto,sex,issue,relationship,amendment,love,result,opposition,senate,solemnise,deep,relevant,bishop
8,prime,right,gay,debate,parliament,family,tax,friend,australians,seek,appointment,ceremony,liz,person,service
9,australians,law,lesbian,parliament,australians,social,confirm,know,religious,second,overseas,religion,school,section,religion
10,minister,traditional,law,matter,vote,law,assessment,come,respect,support,amendment,amendment,equality,act,business
11,time,international,remove,believe,million,change,purpose,feel,process,discrimination,serve,freedom,love,insert,christian
12,vote,view,act,party,opposition,definition,organisation,time,change,make,military,register,parent,substitute,state
13,work,conscientious,commonwealth,conscience,election,legislation,dgr,yes,support,today,insert,opt,uhlmann,line,school
14,let,article,state,definition,party,australian,law,campaign,majority,legislation,armed,minister,father,organisation,facility
15,discrimination,sex,labor,vote,lgbti,enter,concern,today,sex,time,religious,website,constituent,paragraph,law
16,australia,speech,heterosexual,electorate,campaign,act,affect,thank,view,contribution,conscientious,final,rose,body,tell
17,country,human,legislation,act,make,life,labor,family,participation,read,belief,sex,meet,solemnise,organisation
18,lgbtiq,express,community,support,democracy,biological,provide,long,national,delay,personnel,commonwealth,nurture,purpose,teach
19,marry,australians,relation,different,leader,define,funding,make,western,point,select,wedding,strike,religious,year
