,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,equality,freedom,children,plebiscite,equality,views,charities,going,love,sex,religious,election,entity,officer,amendments,church,women,kate
1,lgbtiq,percent,institution,australian,prime,issue,charity,think,let,couples,celebrants,labor,belief,defence,senate,faith,indigenous,mother
2,survey,religious,man,debate,minister,view,charitable,got,gay,government,freedom,party,item,force,amendment,god,change,choice
3,community,yes,woman,issue,parliament,sex,commissioner,don,equal,discrimination,religion,position,page,authorised,member,daughter,changed,deep
4,yes,freedoms,society,australians,party,think,status,want,parliament,superannuation,amendment,change,schedule,cdf,house,wisdom,years,liz
5,australians,protections,union,vote,liberal,debate,religious,really,years,adoption,civil,definition,subsection,chaplain,debate,fisher,debate,family
6,long,voted,parents,lgbti,member,electorate,tax,know,equality,relationships,freedoms,opposition,relevant,appointed,discrimination,coroner,married,children
7,thank,survey,relationship,government,matter,believe,act,like,person,facto,ministers,australian,omit,appointment,won,privilege,society,uhlmann
8,want,australians,definition,million,parties,parliament,amendments,young,marry,gay,list,coalition,person,overseas,committee,catholic,equality,struck
9,time,australian,act,campaign,australians,position,assessment,said,fair,lesbian,solemnise,government,section,senate,today,years,law,support
10,friends,postal,social,referendum,law,matter,organisations,lot,time,community,celebrant,vote,insert,chaplains,think,prayer,ago,raised
11,campaign,vote,sex,parliament,members,personal,confirmed,regional,commitment,act,beliefs,said,substitute,officers,time,solomon,laws,rose
12,lgbti,sex,law,community,leader,conscience,dgr,say,young,legislation,perform,issue,act,serving,want,religious,rights,equality
13,like,electorate,biological,democracy,turnbull,change,amendment,gay,right,commonwealth,90,disdain,paragraph,personnel,delay,life,australian,sex
14,postal,faith,family,200,equal,community,funding,come,day,heterosexual,category,leader,line,forces,second,teachings,1975,father
15,proud,views,families,opposition,rights,member,advice,australia,today,labor,refuse,debate,organisations,armed,legislation,number,changes,unions
16,vote,traditional,entered,question,country,act,law,talk,laws,amendment,right,policy,holds,conscientious,let,story,preference,suggestion
17,years,respect,legislation,sex,government,different,services,thing,proud,law,protection,clear,faith,select,don,skin,case,love
18,finally,speech,marriages,way,australia,support,advancing,school,hope,rights,rights,say,body,objection,protections,tell,commonwealth,constituents
19,young,religion,exclusion,nation,vote,respect,unnecessary,parliament,despite,relationship,want,promise,purposes,military,reading,stance,institution,sides
