,0,1,2,3,4
0,vote,amendment,sex,plebiscite,equality
1,view,freedom,relationship,labor,love
2,percent,religious,child,debate,lgbtiq
3,electorate,celebrant,couple,prime,want
4,change,belief,woman,issue,time
5,freedom,religion,institution,party,community
6,survey,protection,man,parliament,year
7,yes,charity,government,government,vote
8,issue,law,act,minister,australians
9,sex,senate,family,australian,friend
10,australian,right,law,member,young
11,religious,faith,society,election,right
12,respect,protect,discrimination,opposition,family
13,debate,want,legislation,vote,yes
14,support,act,gay,equality,know
15,postal,member,view,leader,thank
16,result,civil,change,make,long
17,believe,solemnise,union,australians,like
18,australians,organisation,issue,change,australia
19,position,conscientious,member,think,work
