,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,equality,percent,children,plebiscite,equality,views,charities,going,kate,couples,freedom,labor,entity,officer,amendments,church
1,lgbtiq,yes,institution,australians,love,issue,charity,think,mother,sex,religious,election,item,defence,senate,faith
2,community,survey,society,debate,parliament,view,charitable,got,choice,government,religion,party,belief,force,amendment,god
3,yes,freedom,man,lgbti,prime,sex,commissioner,want,deep,discrimination,celebrants,position,page,cdf,member,religious
4,survey,voted,woman,prime,minister,think,status,don,liz,superannuation,amendment,change,schedule,authorised,house,years
5,love,religious,union,australian,equal,debate,religious,know,family,relationships,freedoms,opposition,subsection,chaplain,debate,catholic
6,australians,australian,parents,government,party,believe,tax,really,children,facto,civil,australian,omit,appointed,discrimination,daughter
7,want,freedoms,relationship,minister,let,conscience,act,young,uhlmann,adoption,beliefs,definition,relevant,appointment,won,fisher
8,thank,postal,definition,parliament,laws,parliament,amendments,like,struck,gay,rights,government,insert,overseas,committee,wisdom
9,long,vote,social,issue,parties,change,assessment,said,support,lesbian,ministers,coalition,section,senate,think,protections
10,time,electorate,act,vote,right,electorate,organisations,lot,raised,commonwealth,solemnise,debate,person,chaplains,today,life
11,friends,australians,sex,million,country,position,confirmed,regional,rose,act,celebrant,vote,substitute,officers,second,privilege
12,years,protections,law,campaign,vote,matter,dgr,say,equality,legislation,list,said,act,serving,time,christian
13,lgbti,sex,biological,referendum,liberal,community,law,school,father,community,protection,leader,paragraph,personnel,delay,women
14,gay,respect,family,community,member,personal,funding,come,unions,law,perform,issue,line,forces,legislation,teachings
15,like,result,legislation,democracy,time,act,advice,talk,sex,rights,right,disdain,organisations,armed,want,australians
16,proud,views,families,200,australia,member,amendment,country,suggestion,heterosexual,category,policy,religious,conscientious,let,prayer
17,campaign,majority,entered,equality,reform,different,unnecessary,thing,constituents,labor,belief,clear,holds,select,don,state
18,young,process,australian,opposition,work,support,advancing,parliament,sides,amendment,90,member,body,objection,protections,coroner
19,finally,faith,marriages,question,discrimination,respect,services,australia,choose,states,refuse,promise,purposes,military,reading,christianity
