,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,equality,freedom,discrimination,plebiscite,equality,child,charity,community,vote,amendment,officer,celebrant,family,love,church,belief,view,adoption
1,lgbtiq,religious,relationship,australian,prime,society,charitable,want,survey,senate,item,list,mother,equality,faith,international,issue,government
2,community,protection,sex,debate,party,man,commissioner,gay,percent,member,chaplain,category,choice,let,god,article,change,law
3,survey,religion,couple,government,minister,woman,status,young,yes,house,authorised,religious,kate,vote,religious,human,position,provision
4,australians,protect,facto,australians,parliament,institution,charities,think,electorate,discrimination,belief,perform,equality,time,catholic,rights,election,couple
5,thank,amendment,gay,labor,member,parent,act,talk,postal,debate,insert,90,child,law,protection,covenant,think,act
6,family,belief,remove,issue,liberal,family,religious,come,result,want,page,civil,deep,equal,service,right,member,sex
7,long,traditional,superannuation,campaign,matter,relationship,amendment,school,australian,committee,subsection,ceremony,support,marry,run,18,debate,country
8,campaign,conscience,lesbian,million,vote,union,tax,really,respect,celebrant,schedule,religion,liz,fair,business,law,party,overseas
9,friend,australians,heterosexual,vote,labor,social,entity,like,australians,support,entity,solemnise,sex,gay,state,religion,definition,australia
10,want,speech,member,opposition,leader,biological,confirm,know,change,seek,omit,opt,love,right,year,conscience,believe,territory
11,yes,faith,discriminate,election,achieve,change,organisation,regional,majority,second,appoint,register,uhlmann,change,debate,freedom,sex,attorney
12,fight,sex,community,lgbti,sponsor,definition,purpose,country,support,think,substitute,website,constituent,day,christian,hold,matter,intercountry
13,year,right,act,democracy,government,legislation,assessment,australia,view,today,force,freedom,rose,year,religion,declaration,parliament,state
14,time,express,government,question,love,traditional,relevant,make,sex,legislation,line,final,school,today,life,treaty,conscience,matter
15,lgbti,law,commitment,referendum,work,life,dgr,ask,religious,delay,religious,day,father,parliament,bishop,basis,vote,contain
16,feel,vote,right,change,turnbull,mother,funding,thing,process,oppose,section,sex,meet,australia,facility,civil,labor,adopt
17,work,want,partner,sex,allow,father,provide,lot,participation,pass,person,wedding,nurture,belong,fisher,point,express,commonwealth
18,hard,view,homosexual,make,right,define,concern,time,western,time,defence,window,strike,country,hold,manifest,support,enter
19,acknowledge,minister,legislation,parliament,national,australian,affect,rural,national,contribution,cdf,commonwealth,marry,proud,daughter,tribunal,opposition,measure
