,0,1,2,3,4
0,person,equality,want,sex,religious
1,belief,vote,church,issue,freedom
2,act,love,man,view,amendment
3,entity,community,think,change,vote
4,religious,right,school,couple,view
5,relevant,australians,right,government,sex
6,section,make,time,child,right
7,subsection,want,talk,australian,protection
8,item,time,tell,member,support
9,page,member,run,relationship,religion
10,officer,parliament,come,support,australians
11,insert,support,place,think,law
12,hold,plebiscite,today,act,belief
13,line,year,love,law,australian
14,schedule,debate,vote,make,member
15,law,like,know,debate,faith
16,omit,know,thing,community,percent
17,amendment,change,make,family,yes
18,purpose,just,god,legislation,change
19,authorised,come,amendment,parliament,debate
