,0,1,2,3,4
0,religious,sex,plebiscite,equality,equality
1,freedom,government,debate,community,love
2,amendments,act,parliament,survey,sex
3,religion,person,vote,yes,children
4,freedoms,couples,issue,vote,gay
5,faith,law,australian,time,australians
6,amendment,belief,sex,want,time
7,protections,discrimination,think,australians,right
8,sex,legislation,change,like,australia
9,law,definition,government,parliament,support
10,rights,amendment,party,support,couples
11,want,woman,labor,said,family
12,beliefs,man,say,just,discrimination
13,australians,institution,australians,australia,years
14,right,entity,view,say,law
coeffMax,0.998,1.0,0.999,0.999,0.999
coeffDiff,0.998,1.0,0.999,0.999,0.998
speechId,49047,49017,45482,48805,34408
topicCount,74,30,81,60,67
percentage,23.7,9.6,26.0,19.2,21.5
