,0,1,2,3,4,5,6
0,percent,religious,sex,plebiscite,equality,think,charities
1,yes,freedom,children,prime,love,issue,charity
2,survey,amendments,couples,minister,lgbtiq,view,charitable
3,freedom,celebrants,institution,labor,time,views,entity
4,religious,religion,government,government,want,position,commissioner
5,freedoms,amendment,relationships,australian,community,debate,status
6,voted,senate,woman,parliament,young,member,act
7,australian,beliefs,act,equality,australians,change,amendments
8,australians,belief,man,debate,years,election,religious
9,postal,freedoms,society,vote,like,party,tax
10,vote,celebrant,discrimination,australians,long,parliament,organisations
11,electorate,civil,law,party,yes,said,relevant
12,protections,solemnise,gay,issue,australia,vote,faith
13,sex,rights,relationship,opposition,gay,sex,assessment
14,faith,ministers,legislation,leader,thank,matter,funding
15,result,want,family,million,friends,electorate,based
16,respect,protection,facto,election,proud,believe,confirmed
17,views,refuse,superannuation,lgbti,country,like,dgr
18,process,house,union,democracy,equal,conscience,law
19,change,committee,parents,liberal,discrimination,know,services
