,0,1,2,3,4,5,6,7,8,9,10,11,12
0,equality,freedom,sex,view,plebiscite,child,charity,community,vote,amendment,officer,celebrant,church
1,love,religious,couple,issue,debate,institution,charitable,want,survey,member,belief,religious,family
2,parliament,religion,discrimination,change,prime,society,commissioner,gay,percent,senate,item,list,mother
3,law,belief,government,think,government,woman,status,young,yes,house,chaplain,category,choice
4,party,protection,relationship,position,australian,man,charities,like,electorate,debate,entity,perform,kate
5,right,protect,adoption,member,labor,parent,act,year,postal,want,authorised,90,sex
6,equal,faith,superannuation,election,minister,union,religious,lgbtiq,australian,think,insert,civil,child
7,australians,right,facto,debate,issue,family,tax,come,result,seek,subsection,ceremony,support
8,member,conscience,gay,sex,parliament,relationship,amendment,know,australians,discrimination,page,religion,deep
9,time,law,law,parliament,australians,social,organisation,feel,religious,opposition,omit,solemnise,liz
10,lgbtiq,amendment,act,matter,vote,change,entity,time,respect,second,schedule,register,school
11,vote,church,lesbian,party,million,definition,confirm,friend,process,support,person,opt,equality
12,prime,traditional,remove,believe,opposition,law,purpose,today,change,legislation,force,freedom,life
13,minister,view,commonwealth,conscience,party,legislation,assessment,love,support,make,substitute,amendment,uhlmann
14,work,hold,state,definition,election,biological,dgr,campaign,majority,today,section,website,daughter
15,let,international,labor,vote,lgbti,australian,relevant,relationship,sex,committee,appoint,final,meet
16,discrimination,speech,heterosexual,electorate,campaign,life,concern,make,view,time,line,minister,rose
17,australia,sex,legislation,act,make,enter,funding,really,participation,read,conscientious,sex,love
18,country,australians,community,different,leader,act,law,life,national,contribution,relevant,wedding,constituent
19,marry,conscientious,relation,support,democracy,define,provide,thank,western,delay,religious,day,father
