,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,equality,freedom,children,plebiscite,equality,issue,charities,got,love,discrimination,item,labor,entity,survey,amendments,adoption,church,kate,list,gay,man,election,received,pm,groom,legislation,years,expression,daughter,wangaratta,officer,religious,international,facto,faith,society,women,leave,opposition,institution,change,regional,conscience,religion,australians,school,superannuation
1,lgbtiq,freedoms,parents,australian,prime,think,charity,don,let,sex,schedule,party,belief,percent,senate,government,facilities,choice,perform,lesbian,woman,definition,views,15,toowoomba,definition,ago,churches,wisdom,bishop,defence,celebrants,rights,relationships,religious,man,indigenous,granted,agreed,government,debate,rural,assumption,observance,equality,young,government
2,community,religious,biological,debate,minister,view,charitable,going,equal,couples,page,families,relevant,postal,won,intercountry,going,deep,90,homosexuals,88e,change,sex,submitted,result,law,indigenous,statement,fisher,indi,force,amendment,human,relationship,church,woman,equality,tabled,question,act,acknowledge,inner,conscientious,amendment,lgbtiq,schools,discrimination
3,yes,traditional,child,vote,parliament,views,commissioner,mob,attracted,act,omit,members,person,yes,discrimination,attorney,business,mother,celebrants,homosexual,community,position,personal,afternoon,queensland,think,changed,renewed,church,anglican,cdf,senate,freedom,community,god,institution,change,house,leader,contained,member,references,trumps,freedom,belongs,want,reform
4,survey,protections,institution,issue,party,position,status,little,despite,equality,substitute,australian,holds,electorate,equality,couples,run,liz,ceremonies,commitment,insert,disdain,member,debate,inland,court,louise,relation,coroner,harry,authorised,freedoms,article,longterm,christian,children,1975,behalf,second,entered,senator,cities,beliefs,religious,gift,lies,amendment
5,want,religion,sex,australians,matter,debate,tax,think,won,rights,line,member,subsection,australian,debate,states,churches,family,category,sex,lesbian,said,electorate,mpi,yes,act,women,sex,solomon,rural,chaplain,compromise,covenant,heterosexual,protections,union,married,flag,amendment,overseas,course,towns,celebrant,section,fair,gilmore,grayndler
6,thank,conscience,families,government,liberal,parliament,religious,said,years,labor,celebrant,leader,section,voted,time,territories,electric,uhlmann,opt,australian,message,coalition,percent,90,electorates,parliament,time,slope,privilege,gender,appointed,antidiscrimination,belief,partner,based,traditional,relation,gallery,read,country,process,voted,primacy,practice,australia,protection,sex
7,friends,speech,mother,lgbti,parties,believe,act,know,laws,remove,subsection,government,act,vote,member,sex,hold,struck,religious,community,subsection,contacted,throsby,madam,pastor,society,right,commitment,prayer,cathy,appointment,ministers,declaration,discrimination,organisations,values,australian,member,substituting,valid,nation,australia,belief,manifest,law,told,remove
8,campaign,sex,social,million,australians,community,assessment,really,reform,85,insert,support,paragraph,australians,comments,commonwealth,department,support,registered,couples,section,cowan,emails,indulgence,survey,situation,debates,slippery,god,parkes,overseas,refuse,18,loving,orthodox,social,nondiscrimination,opposition,omitted,sex,great,electorates,philosophy,worship,humility,pointing,area
9,lgbti,yes,family,campaign,plebiscite,different,amendments,single,knows,marry,solemnise,opposition,vaa,religious,think,relation,play,rose,categories,australians,thousands,say,letters,statements,community,relationship,contentious,defend,years,behalf,chaplains,committee,treaties,institution,state,pillar,case,vote,immediate,fundamental,place,utterly,pope,corangamite,time,girls,spouse
