,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,issue,election,amendment,member,debate,plebiscite,discrimination,homosexual,amendment,relationship,niece,freedom,sex,item,plebiscite,time,vote,person,view,equality,freedom,sex
1,debate,definition,act,equality,love,parliament,sex,right,religious,think,sex,religious,couple,officer,debate,change,equality,belief,issue,love,sex,member
2,support,position,faith,think,amendment,equality,view,self,charity,community,relationship,amendment,government,line,change,right,community,entity,member,member,religious,right
3,australian,change,discrimination,want,view,minister,remove,social,act,sex,support,religion,child,page,australian,think,love,act,sex,parliament,vote,view
4,view,labor,base,place,think,prime,commonwealth,gender,member,partner,nephew,protection,relationship,schedule,labor,view,yes,relevant,vote,right,view,discrimination
5,change,party,organisation,community,member,vote,support,marital,celebrant,law,member,belief,family,religious,vote,make,want,hold,change,work,change,support
6,plebiscite,know,member,australians,issue,member,act,discriminate,law,government,marry,right,law,insert,issue,parliament,year,law,support,party,australians,matter
7,believe,vote,section,support,change,debate,relationship,activist,sex,acceptable,legislation,law,gay,chaplain,australians,know,time,include,debate,want,law,couple
8,community,member,seek,parliament,time,government,legislation,choose,right,institution,young,member,act,omit,government,vote,support,subsection,parliament,law,australian,woman
9,sex,issue,body,long,right,issue,law,partner,freedom,minister,think,labor,legislation,authorised,make,want,like,section,australian,make,faith,labor
10,party,debate,sex,australia,legislation,australians,area,marry,concern,australian,woman,want,community,celebrant,sex,come,right,conduct,make,equal,definition,marry
11,leader,make,second,law,support,right,superannuation,heterosexual,view,prime,like,senate,discrimination,substitute,support,man,make,engage,think,support,support,think
12,vote,view,purpose,change,institution,make,couple,special,organisation,commonwealth,parliament,minister,australian,amendment,opposition,good,come,express,electorate,time,percent,debate
13,parliament,clear,house,hard,use,million,reason,claim,want,discrimination,electorate,house,support,force,year,love,know,public,community,vote,society,civil
14,gippsland,matter,equality,vote,make,party,institution,gay,vote,relation,oppose,celebrant,institution,subsection,think,issue,australians,authority,legislation,discrimination,right,australia
15,opposition,greens,leave,year,society,campaign,removal,accept,hold,member,vote,party,australia,traditional,process,just,electorate,territory,survey,labor,child,law
16,time,policy,37,come,believe,want,woman,public,faith,area,child,vote,issue,belief,view,life,family,state,way,thank,amendment,change
17,think,stand,time,acknowledge,allow,referendum,parliament,inequality,think,look,partner,protect,state,solemnise,equality,australians,australia,paragraph,right,year,yes,act
18,fair,government,establish,lgbti,important,lgbti,amendment,minority,charitable,introduce,perspective,make,make,section,party,debate,survey,make,party,australians,protection,parliament
19,respectful,come,1984,melbourne,different,just,man,resident,government,child,eld,support,woman,conscientious,way,marry,gay,vaa,believe,country,belief,belief
