,0,1,2,3,4,5,6,7,8,9
0,time,issue,faith,sex,freedom,amendment,person,sex,equality,equality
1,law,debate,act,change,religious,religious,belief,relationship,vote,member
2,amendment,vote,organisation,couple,vote,freedom,act,couple,love,want
3,want,plebiscite,base,law,protection,law,entity,child,right,community
4,love,member,purpose,equality,sex,right,relevant,government,time,support
5,church,view,body,right,faith,belief,subsection,community,make,survey
6,woman,change,tax,act,view,religion,item,family,australians,love
7,man,think,section,support,amendment,member,page,discrimination,community,lgbtiq
8,right,parliament,1984,view,australian,celebrant,line,legislation,want,vote
9,discrimination,australian,37,make,support,view,section,society,know,year
10,god,sex,sex,issue,percent,vote,insert,member,year,australians
11,life,party,discrimination,debate,survey,sex,hold,law,parliament,religious
12,know,labor,establish,woman,australians,support,schedule,institution,plebiscite,right
13,today,support,religious,child,church,make,officer,woman,australia,make
14,house,make,amendment,australian,religion,want,omit,support,come,yes
15,australians,government,assessment,member,right,senate,law,gay,like,discrimination
16,mean,election,right,family,yes,protect,authorised,view,country,like
17,country,opposition,insert,legal,belief,charity,substitute,man,support,thank
18,think,believe,advance,labor,change,protection,include,think,change,long
19,place,matter,subsection,marry,law,australia,religious,australian,just,electorate
