,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,lgbtiq,freedom,discrimination,plebiscite,equality,child,charity,school,vote,amendment,officer,celebrant,kate,love,church,entity,labor,regional,adoption,view,change,gay,pm
1,equality,religious,sex,debate,prime,society,charitable,want,percent,senate,chaplain,list,choice,let,faith,belief,election,wangaratta,government,issue,indigenous,lesbian,opposition
2,community,belief,relationship,australian,minister,institution,commissioner,young,survey,member,force,category,mother,vote,religious,item,party,bishop,couple,think,woman,community,15
3,survey,religion,couple,issue,parliament,man,charities,think,yes,discrimination,appoint,religious,family,equal,god,page,promise,rural,law,change,law,homosexual,second
4,yes,conscience,remove,australians,party,woman,status,talk,electorate,celebrant,authorised,perform,liz,equality,protection,subsection,position,australia,provision,position,debate,government,debate
5,friend,protect,facto,government,member,parent,religious,dress,postal,house,defence,90,deep,fair,religion,schedule,member,indi,sex,member,year,man,speech
6,want,protection,member,campaign,law,family,amendment,child,australian,committee,cdf,civil,support,time,service,omit,vote,harry,act,believe,think,discriminate,question
7,thank,right,superannuation,million,matter,relationship,act,tell,result,religious,senate,ceremony,uhlmann,day,catholic,relevant,change,anglican,overseas,community,society,minister,gallery
8,family,amendment,act,lgbti,right,union,tax,girl,australians,support,appointment,opt,rose,parliament,state,person,definition,ask,country,debate,marry,prime,read
9,long,law,labor,parliament,liberal,social,confirm,protect,respect,want,serve,religion,love,marry,run,section,coalition,inner,intercountry,matter,ago,issue,member
10,campaign,traditional,heterosexual,vote,australians,biological,assessment,bit,religious,debate,overseas,register,sex,belong,christian,substitute,government,electorate,attorney,electorate,right,superannuation,speaker
11,australians,international,amend,referendum,achieve,legislation,purpose,come,change,think,insert,solemnise,child,respect,business,act,policy,like,territory,parliament,reflect,woman,afternoon
12,time,article,right,opposition,work,mother,organisation,protection,support,oppose,armed,freedom,constituent,right,life,insert,australian,country,state,conscience,australian,relationship,leader
13,feel,view,legislation,200,make,father,dgr,know,sex,propose,military,website,strike,proud,law,line,issue,community,australia,personal,institution,live,house
14,fight,conscientious,commitment,democracy,sponsor,definition,concern,lie,view,seek,conscientious,final,father,hope,organisation,paragraph,disdain,talk,contain,different,case,australian,leave
15,year,speech,law,prime,country,traditional,affect,schools,majority,delay,personnel,sex,nurture,country,teach,organisation,debate,really,matter,sex,thing,year,mpi
16,lgbti,18,family,make,support,define,provide,like,process,pass,religious,day,life,today,facility,body,opposition,behalf,adopt,express,civil,reform,indulgence
17,proud,human,partner,community,vote,raise,law,wear,participation,compromise,objection,wedding,church,year,fisher,solemnise,clear,town,enter,current,australia,heterosexual,grant
18,like,express,marry,sex,australia,life,advice,make,freedom,consider,select,decide,suggestion,person,tell,religious,2010,legislation,commonwealth,way,1967,australians,suspension
19,hard,covenant,piece,question,equal,redefine,funding,little,national,reject,amendment,window,meet,allow,hold,refusal,greens,make,measure,support,campaign,australia,time
