,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,view,election,amendment,equality,society,plebiscite,person,calare,amendment,think,sex,freedom,sex,line,plebiscite,change,equality,change,vote
1,issue,position,member,member,relationship,equality,belief,fiery,religious,religious,think,amendment,couple,item,debate,time,vote,discrimination,view
2,change,debate,house,want,child,parliament,entity,remainder,law,faith,support,religious,child,officer,change,right,love,issue,sex
3,australian,issue,time,think,love,minister,act,forge,charity,community,issue,religion,government,page,labor,think,community,like,religious
4,election,change,second,place,time,prime,relevant,impressed,right,act,member,right,relationship,religious,government,vote,want,act,change
5,believe,opposition,vote,acknowledge,change,member,hold,unify,celebrant,relationship,relationship,belief,family,schedule,australians,make,time,woman,issue
6,vote,know,support,community,member,vote,law,justly,act,base,niece,protection,law,insert,australian,know,year,support,australian
7,parliament,make,read,love,view,right,conduct,bitterness,member,law,electorate,vote,act,chaplain,vote,view,right,come,member
8,support,vote,legislation,parliament,gay,party,engage,conclusive,sex,sex,position,protect,support,omit,make,come,support,time,australians
9,sex,member,leave,hard,think,government,subsection,keen,discrimination,section,parliament,support,member,celebrant,issue,like,yes,gay,freedom
10,debate,matter,reading,australians,couple,debate,include,35,view,organisation,nephew,member,legislation,authorised,equality,parliament,make,member,percent
11,respect,party,discrimination,work,recognise,make,section,significance,want,discrimination,young,law,australian,substitute,support,law,australians,think,support
12,party,stand,today,vote,issue,issue,public,wait,concern,institution,oppose,labor,woman,amendment,sex,year,like,allow,electorate
13,definition,labor,make,senator,make,australians,express,constructive,think,partner,marry,conscience,labor,belief,opposition,love,family,lot,survey
14,position,amendment,gallery,support,sex,want,authority,controversy,organisation,church,like,sex,institution,subsection,party,woman,know,year,faith
15,plebiscite,definition,just,law,institution,think,state,peacefully,allow,reason,gippsland,minister,issue,force,year,issue,come,address,debate
16,labor,greens,need,australia,commitment,just,territory,partisan,equality,right,vote,party,man,solemnise,think,want,australia,just,legislation
17,opposition,clear,speech,right,support,million,paragraph,congratulation,exist,amendment,legislation,want,state,traditional,process,life,marry,relation,parliament
18,think,ahead,senate,year,right,country,make,feature,reason,acceptable,consistent,house,community,section,view,man,gay,make,make
19,discrimination,leave,act,great,believe,law,vaa,consultation,vote,religion,relation,senate,australia,conscientious,member,debate,electorate,man,believe
