,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,view,election,amendment,equality,society,plebiscite,person,child,amendment,relationship,sex,freedom,sex,line,plebiscite,change,vote,change,view,equality
1,change,change,house,think,child,parliament,belief,biological,religious,sex,relationship,amendment,couple,item,debate,time,community,issue,vote,love
2,issue,position,member,community,love,equality,entity,social,charity,community,niece,religious,government,religious,change,right,equality,discrimination,sex,member
3,australian,issue,today,member,think,minister,act,cost,act,think,support,religion,child,officer,labor,think,yes,like,change,law
4,believe,member,senate,want,relationship,prime,relevant,consequential,law,discrimination,marry,belief,relationship,page,government,make,want,support,australian,right
5,election,know,let,place,time,debate,hold,consequence,member,faith,member,right,family,schedule,australian,know,time,come,issue,party
6,support,vote,make,australians,institution,member,law,health,right,base,legislation,protection,law,insert,vote,love,love,woman,support,parliament
7,position,make,want,australia,change,vote,engage,propose,discrimination,law,woman,law,act,chaplain,australians,like,support,member,member,australians
8,sex,debate,legislation,vote,make,issue,include,father,sex,act,nephew,protect,legislation,omit,issue,vote,year,gay,religious,want
9,definition,opposition,gallery,hard,right,government,conduct,mother,concern,partner,think,support,member,celebrant,make,view,right,relation,debate,equal
10,parliament,leave,vote,long,member,make,section,likely,celebrant,organisation,eld,want,support,authorised,support,year,like,act,australians,work
11,discrimination,party,time,state,form,right,subsection,ought,organisation,section,young,member,woman,substitute,sex,come,make,think,freedom,make
12,vote,amendment,discrimination,year,recognise,australians,public,legal,view,institution,perspective,vote,gay,amendment,opposition,man,come,lot,faith,time
13,party,definition,parliament,really,man,party,express,ethical,reason,matter,oppose,celebrant,australian,subsection,year,want,australians,time,percent,vote
14,community,labor,need,parliament,want,want,authority,public,think,government,parliament,minister,labor,force,equality,life,know,address,parliament,labor
15,think,stand,delay,come,group,think,state,future,vote,minister,child,house,man,belief,process,equality,electorate,australians,believe,support
16,labor,greens,support,right,come,community,territory,medical,change,acceptable,partner,labor,institution,traditional,question,woman,survey,community,legislation,discrimination
17,debate,clear,leave,know,union,just,paragraph,procedure,charitable,attorney,like,senate,issue,solemnise,think,good,australia,make,electorate,country
18,different,matter,seek,survey,school,million,class,custom,status,reason,deny,sex,australia,section,way,marry,gay,work,make,thank
19,respect,ahead,corangamite,lgbti,support,lgbti,make,donor,propose,look,mother,conscience,definition,conscientious,party,thing,family,year,respect,year
