,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,community,survey,adoption,plebiscite,equality,views,charities,children,love,discrimination,celebrants,party,entity,kate,freedom,election,church,amendments,pm
1,lgbtiq,percent,government,australian,australians,issue,charity,man,let,sex,religious,labor,item,mother,religion,definition,faith,senate,opposition
2,want,yes,couples,australians,law,view,charitable,woman,equal,couples,list,prime,belief,choice,religious,change,god,amendment,second
3,yes,postal,sex,vote,lgbtiq,think,commissioner,institution,equality,gay,perform,minister,page,deep,rights,labor,religious,discrimination,question
4,young,voted,act,debate,parliament,sex,status,society,parliament,facto,90,liberal,schedule,liz,conscience,position,catholic,member,15
5,like,religious,overseas,government,rights,parliament,religious,union,fair,relationships,category,leader,insert,family,belief,said,going,committee,debate
6,gay,electorate,states,issue,australia,debate,tax,parents,laws,superannuation,civil,member,officer,uhlmann,freedoms,coalition,protections,won,read
7,years,australian,intercountry,lgbti,time,believe,act,relationship,right,relationship,religion,parliament,subsection,struck,beliefs,disdain,run,don,submitted
8,time,vote,australia,parliament,laws,position,amendments,social,time,rights,solemnise,members,omit,children,international,party,churches,want,agreed
9,long,australians,attorney,million,discrimination,conscience,assessment,family,attracted,lesbian,amendment,government,authorised,support,traditional,policy,christian,think,afternoon
10,campaign,freedoms,law,referendum,survey,electorate,organisations,biological,years,heterosexual,celebrant,opposition,person,raised,article,australian,bishop,house,amendment
11,know,respect,provisions,campaign,right,different,confirmed,families,marry,community,ministers,free,substitute,rose,human,vote,years,legislation,reading
12,really,result,territories,prime,equal,personal,entity,legislation,day,remove,ceremonies,vote,section,love,protect,greens,state,today,leave
13,thank,protections,commonwealth,democracy,reality,matter,dgr,child,vote,amendment,freedoms,parties,relevant,unions,protections,say,daughter,let,speaker
14,friends,sex,country,200,long,member,funding,relationships,country,legislation,opt,families,chaplain,sex,amendment,issue,don,debate,house
15,today,process,definition,minister,minister,change,relevant,traditional,person,government,refuse,coalition,act,father,covenant,cowan,fisher,say,mpi
16,just,change,countries,community,acknowledge,community,amendment,definition,proud,family,decide,matter,line,suggestion,18,contacted,facilities,greens,speeches
17,got,majority,measures,sex,country,act,advice,australian,despite,labor,categories,debate,paragraph,sides,conscientious,2010,say,delay,offer
18,lgbti,views,laws,question,lgbti,support,advancing,life,hope,commitment,registered,just,religious,constituents,law,clear,wisdom,know,leader
19,proud,participation,institution,gay,human,members,unnecessary,law,belongs,member,principle,support,conscientious,foy,protection,promise,schools,time,suspension
