,0,1,2,3,4,5
0,percent,religious,sex,plebiscite,equality,think
1,yes,amendments,children,prime,love,issue
2,survey,freedom,couples,labor,lgbtiq,view
3,freedom,amendment,institution,minister,time,views
4,religious,religion,government,government,want,position
5,freedoms,celebrants,relationships,australian,community,debate
6,voted,charities,woman,parliament,young,member
7,australian,belief,act,equality,australians,change
8,australians,senate,man,debate,years,election
9,postal,beliefs,society,vote,like,party
10,vote,freedoms,discrimination,australians,long,parliament
11,electorate,celebrant,law,party,yes,said
12,protections,act,gay,issue,australia,vote
13,sex,solemnise,relationship,opposition,gay,matter
14,faith,rights,legislation,leader,thank,sex
15,result,civil,family,million,friends,electorate
16,respect,want,facto,election,proud,believe
17,views,ministers,superannuation,lgbti,country,like
18,change,discrimination,union,democracy,equal,conscience
19,process,protections,parents,liberal,discrimination,know
