,0,1,2,3,4,5,6,7,8,9,10,11,12
0,community,percent,children,plebiscite,equality,views,charities,amendments,church,sex,religious,labor,entity
1,lgbtiq,yes,institution,prime,love,view,charity,senate,kate,couples,freedom,election,item
2,want,survey,society,debate,parliament,issue,charitable,amendment,mother,government,religion,party,belief
3,yes,freedom,man,parliament,equal,think,commissioner,member,family,discrimination,celebrants,position,page
4,gay,religious,woman,minister,minister,sex,status,house,choice,superannuation,amendment,opposition,schedule
5,like,voted,union,australians,australians,parliament,religious,don,deep,relationships,freedoms,change,officer
6,young,australians,parents,government,prime,debate,tax,think,liz,adoption,civil,australian,insert
7,years,australian,relationship,australian,let,position,act,going,uhlmann,facto,beliefs,definition,subsection
8,time,postal,social,lgbti,laws,believe,amendments,want,sex,gay,rights,government,omit
9,survey,freedoms,definition,vote,time,electorate,organisations,debate,life,act,ministers,coalition,authorised
10,equality,vote,sex,million,party,conscience,assessment,won,faith,commonwealth,protection,vote,substitute
11,long,protections,act,issue,right,change,confirmed,today,children,lesbian,solemnise,said,person
12,thank,electorate,law,referendum,australia,matter,entity,time,struck,legislation,celebrant,leader,section
13,love,sex,legislation,campaign,law,different,dgr,committee,support,law,right,debate,relevant
14,campaign,faith,family,community,discrimination,member,funding,legislation,raised,community,belief,issue,chaplain
15,today,respect,biological,democracy,country,personal,relevant,discrimination,rose,rights,perform,disdain,religious
16,lgbti,views,families,200,member,act,services,let,unions,labor,list,member,line
17,friends,result,australian,equality,lgbtiq,community,law,second,years,heterosexual,refuse,policy,act
18,just,process,entered,opposition,vote,members,advice,say,love,amendment,category,promise,paragraph
19,know,majority,marriages,question,support,way,amendment,know,sides,states,want,clear,conscientious
