,0,1,2,3,4,5
0,equality,view,religious,sex,sex,belief
1,vote,woman,freedom,government,equality,person
2,community,man,vote,issue,law,religious
3,love,relationship,amendment,change,love,act
4,want,law,sex,australian,change,amendment
5,time,society,support,couple,australians,entity
6,right,right,view,view,right,section
7,make,community,right,member,support,relevant
8,parliament,institution,australians,act,discrimination,hold
9,member,church,change,child,couple,subsection
10,australians,discrimination,protection,debate,gay,officer
11,year,sex,australian,make,celebrant,item
12,know,think,yes,support,equal,insert
13,like,member,percent,think,woman,page
14,debate,couple,member,labor,let,charity
15,plebiscite,religious,law,plebiscite,time,law
16,support,way,survey,parliament,list,purpose
17,come,amendment,religion,law,opposition,organisation
18,just,want,faith,family,year,line
19,australia,time,electorate,relationship,civil,celebrant
