,0,1,2,3,4,5,6,7,8,9,10
0,community,percent,children,plebiscite,equality,issue,charities,amendments,church,sex,religious
1,lgbtiq,freedom,institution,government,love,views,charity,senate,kate,couples,freedom
2,want,yes,man,prime,parliament,view,charitable,amendment,mother,government,religion
3,yes,survey,woman,australian,equal,think,commissioner,member,choice,discrimination,celebrants
4,gay,religious,society,debate,minister,position,entity,house,family,superannuation,amendment
5,like,voted,union,labor,australians,election,status,don,deep,relationships,beliefs
6,young,australian,parents,minister,prime,change,religious,debate,liz,adoption,freedoms
7,years,australians,relationship,vote,party,sex,act,want,sex,facto,civil
8,time,freedoms,definition,parliament,let,debate,tax,going,faith,gay,belief
9,survey,postal,act,australians,time,party,organisations,think,life,act,celebrant
10,equality,protections,social,issue,laws,parliament,relevant,today,uhlmann,labor,solemnise
11,long,vote,sex,lgbti,australia,member,amendments,won,children,commonwealth,ministers
12,thank,electorate,law,million,law,matter,assessment,committee,struck,legislation,refuse
13,love,sex,biological,opposition,right,vote,faith,time,support,lesbian,rights
14,campaign,faith,legislation,party,member,definition,funding,legislation,raised,community,protection
15,lgbti,respect,family,leader,discrimination,conscience,based,discrimination,love,law,right
16,today,views,entered,campaign,lgbtiq,believe,confirmed,let,rose,rights,perform
17,friends,result,families,democracy,country,said,dgr,second,years,heterosexual,list
18,know,process,exclusion,election,vote,electorate,services,say,unions,relation,category
19,just,change,life,referendum,support,opposition,purposes,leave,sides,amendment,section
