,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,view,election,amendment,equality,society,plebiscite,person,child,amendment,relationship,sex,freedom,sex,line,plebiscite,right,equality,change
1,issue,church,act,member,love,equality,belief,right,religious,think,support,religious,couple,item,debate,time,vote,issue
2,change,member,faith,love,change,parliament,entity,social,law,faith,relationship,vote,government,officer,change,change,community,sex
3,sex,know,base,want,child,minister,act,legislation,right,community,member,amendment,child,religious,vote,view,love,woman
4,australian,vote,organisation,work,institution,prime,relevant,issue,member,minister,think,protection,relationship,page,australian,think,want,act
5,vote,amendment,sex,right,relationship,member,hold,public,act,matter,marry,belief,family,schedule,government,vote,support,think
6,support,make,body,labor,recognise,vote,law,mother,freedom,government,electorate,view,law,insert,australians,make,time,relationship
7,believe,business,purpose,party,live,right,include,biological,sex,law,legislation,australians,support,celebrant,labor,debate,yes,definition
8,parliament,leave,section,place,member,government,engage,society,celebrant,amendment,consistent,sex,act,chaplain,make,member,right,just
9,debate,position,tax,year,great,debate,conduct,family,charity,senate,parliament,australian,member,omit,issue,issue,like,society
10,respect,opposition,right,parliament,time,australians,section,australian,discrimination,partner,like,percent,legislation,authorised,support,parliament,australians,discrimination
11,election,issue,equality,thank,man,party,subsection,father,view,prime,oppose,religion,australian,substitute,process,know,make,like
12,position,stand,discrimination,think,life,make,public,change,think,time,niece,right,labor,amendment,sex,year,year,law
13,community,debate,seek,support,family,issue,express,legal,want,sex,tone,support,woman,belief,equality,like,come,support
14,couple,run,establish,make,believe,want,authority,future,religion,institution,vote,protect,issue,solemnise,think,come,family,man
15,member,think,1984,australians,commitment,just,state,homosexual,support,introduce,woman,yes,state,subsection,view,law,know,member
16,nation,conscience,37,vote,couple,country,territory,propose,allow,commonwealth,young,change,man,force,opposition,way,gay,institution
17,act,today,second,long,support,law,paragraph,consider,concern,thing,email,faith,gay,section,year,want,electorate,make
18,definition,party,senate,law,right,million,make,cost,vote,attorney,child,law,community,traditional,party,community,australia,lot
19,plebiscite,matter,consider,discrimination,view,child,vaa,marry,civil,life,relation,hold,australia,conscientious,way,man,survey,election
