,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,lgbtiq,freedom,children,plebiscite,plebiscite,think,charities,got,love,facto,list,labor,entity,percent,prime,election,faith,kate,adoption,gay,man,issue,opposition,daughter,change,act,women,submission,leave,officer,regional,equality,expression,survey,pm,views,single,commonwealth,church,conscience,australians,religious,school,groom,amendments,referendum,celebrants,international
1,community,freedoms,institution,australian,lgbti,really,charity,going,let,relationships,perform,party,belief,electorate,minister,definition,god,mother,government,lesbian,woman,position,agreed,wisdom,acknowledge,definition,indigenous,sex,granted,defence,wangaratta,support,churches,safeguards,15,sex,dressed,shall,facilities,assumption,lgbtiq,amendment,young,toowoomba,senate,campaign,compromise,rights
2,yes,traditional,society,debate,equality,view,charitable,mob,equal,discrimination,90,members,item,yes,parliament,position,church,choice,intercountry,homosexuals,union,community,question,fisher,senator,institution,change,discrimination,tabled,authorised,bishop,australians,statement,process,afternoon,received,going,religion,going,beliefs,belongs,religion,schools,result,won,lied,ministers,human
3,equality,religion,parents,issue,australians,important,commissioner,don,attracted,superannuation,celebrants,member,page,survey,liberal,change,christian,liz,couples,homosexual,community,view,amendment,church,member,entered,changed,tennis,house,cdf,rural,acknowledge,sex,government,submitted,personal,rejected,constitution,business,conscientious,gift,senate,lies,inland,discrimination,seats,relation,freedom
4,survey,conscience,woman,election,200,legislation,status,book,equality,sex,ceremonies,families,schedule,voted,party,said,religious,deep,states,commitment,88e,gippsland,second,coroner,nation,sex,married,election,gallery,force,indi,parliament,discrimination,provisions,debate,member,little,relation,run,trumps,equality,refuse,protection,queensland,debate,got,amendment,covenant
5,want,speech,man,vote,million,know,tax,said,laws,relationship,category,sex,relevant,vote,matter,contacted,based,family,attorney,couples,voluntarily,think,read,solomon,debate,government,1975,professor,behalf,chaplain,harry,opportunity,renewed,postal,mpi,constituents,priest,qualification,churches,celebrant,fair,solemnise,want,electorates,time,resources,religious,article
6,love,religious,social,opposition,parliament,believe,religious,tonight,despite,couples,opt,discrimination,person,postal,leader,cowan,christianity,uhlmann,sex,sex,insert,views,substituting,privilege,course,contained,years,inquiry,flag,appointed,australia,reality,view,community,90,throsby,protect,prolong,hold,primacy,australia,freedoms,told,survey,kennedy,imposed,want,belief
7,thank,protections,biological,sex,community,way,act,party,reform,government,religious,support,omit,religious,parties,labor,organisations,struck,territories,community,entered,debate,leader,prayer,great,overseas,society,melbourne,member,appointment,anglican,law,couples,conduct,indulgence,matter,excuse,pulpit,department,belief,time,protection,gilmore,yes,delay,yes,amendments,declaration
8,finally,sex,family,labor,job,parliament,amendments,newcastle,knows,partner,categories,government,subsection,australian,equality,party,orthodox,rose,overseas,australians,message,parliament,omitted,years,place,valid,nondiscrimination,equality,opposition,overseas,inner,rights,commitment,vilification,madam,electorate,intelligence,establishing,electric,religious,humility,discrimination,girls,pastor,protections,vote,senate,treaties
9,proud,australians,families,change,vote,say,assessment,democracy,years,heterosexual,registered,conference,substitute,respect,political,disdain,protections,raised,superannuation,australian,subsection,current,immediate,god,courage,fundamental,debate,law,read,chaplains,like,australia,slope,broadcasters,statements,conscience,proposal,116,religious,philosophy,voted,laws,bit,business,comments,money,existing,18
