,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,yes,freedom,act,plebiscite,equality,think,charities,got,love,discrimination,list,election,children,entity,amendments,prime,faith,kate,adoption,gay,percent,submission,leave,daughter,labor,women,officer,relationships,religious,nation,groom,survey,lgbtiq,church,wangaratta,conscience,pm,views,tasmania,opposition,international
1,community,freedoms,entered,issue,australians,issue,charity,school,let,sex,perform,definition,institution,item,senate,minister,god,mother,government,lesbian,yes,tennis,granted,wisdom,party,indigenous,defence,facto,celebrants,change,toowoomba,safeguards,australians,going,bishop,assumption,15,sex,rodney,agreed,rights
2,equality,religion,definition,vote,support,view,charitable,don,equal,couples,90,position,society,belief,won,parliament,religious,choice,couples,community,voted,sex,house,fisher,families,changed,cdf,superannuation,amendment,australian,result,process,equality,facilities,regional,beliefs,afternoon,received,equality,question,human
3,friends,traditional,institution,australian,law,position,commissioner,young,attracted,remove,celebrants,change,man,page,discrimination,equality,church,liz,intercountry,homosexual,electorate,election,member,church,government,change,authorised,relationship,religion,process,queensland,government,want,business,rural,conscientious,submitted,personal,state,amendment,freedom
4,love,religious,government,campaign,parliament,debate,status,going,equality,labor,ceremonies,said,woman,schedule,debate,liberal,christian,deep,sex,australians,survey,professor,gallery,coroner,leader,married,force,legislation,senate,lives,inland,provisions,time,churches,indi,trumps,debate,electorate,regional,second,covenant
5,thank,conscience,contained,australians,acknowledge,parliament,tax,think,years,act,category,disdain,parents,subsection,committee,party,protections,family,states,homosexuals,vote,inquiry,tabled,solomon,australian,years,chaplain,partner,solemnise,debate,yes,community,long,run,harry,celebrant,mpi,constituents,survey,leader,article
6,years,speech,law,debate,reality,views,religious,want,fair,marry,opt,contacted,union,relevant,member,matter,based,uhlmann,attorney,government,postal,law,behalf,privilege,member,society,appointed,discrimination,ministers,believe,survey,postal,survey,hold,anglican,primacy,90,member,choice,read,belief
7,lgbti,protections,sex,lgbti,australia,community,act,dress,laws,rights,categories,cowan,social,omit,time,parties,state,struck,territories,man,religious,coalition,flag,prayer,members,1975,appointment,government,refuse,make,electorates,conduct,hurt,electric,australia,belief,indulgence,issue,tireless,substituting,declaration
8,like,sex,overseas,million,rights,gippsland,assessment,mob,despite,throsby,registered,labor,biological,person,kennedy,national,organisations,rose,superannuation,couples,australian,melbourne,make,years,opposition,ago,overseas,loving,freedoms,great,pastor,lgbti,community,department,inner,religious,madam,recognition,tasmanian,omitted,treaties
9,young,protect,understanding,government,opportunity,believe,amendments,said,parliament,member,religious,say,family,insert,delay,vote,christianity,raised,overseas,woman,respect,equality,vote,god,support,debate,chaplains,community,compromise,important,business,vilification,gift,flowers,like,philosophy,statements,letters,sharon,immediate,religion
10,vote,australians,laws,sex,country,different,confirmed,little,right,ending,civil,vote,child,substitute,amendment,room,orthodox,children,relation,australia,australians,discrimination,opposition,life,years,preference,serving,heterosexual,protection,way,wales,broadcasters,sorry,religious,behalf,pope,30,throsby,electorate,words,18
11,campaign,views,fundamental,referendum,member,current,dgr,country,time,view,website,stand,relationship,section,comments,just,federation,unions,commonwealth,marriages,sex,removed,noise,stance,conference,nondiscrimination,personnel,acceptable,minister,maranoa,south,apply,families,play,really,antidiscrimination,second,matter,postal,addressed,law
12,proud,amendments,australia,200,joy,issues,organisations,know,knows,85,decide,matter,families,line,protections,members,religion,support,child,living,protections,greens,today,number,debate,australian,senate,family,relation,live,centre,additional,debate,liberty,make,cardinal,return,conscience,just,cunningham,basis
13,finally,yes,country,opposition,right,relation,unlikely,lot,reform,pieces,lists,party,traditional,paragraph,greens,plebiscite,bishop,suggestion,adoptions,88e,majority,deputy,able,story,coalition,1967,officers,sex,civil,country,community,fix,discrimination,happens,cathy,minor,suspension,emails,tribute,original,universal
14,time,house,1961,democracy,make,vote,advice,told,day,churches,window,coalition,sex,act,think,political,catholic,love,policy,thousands,freedoms,policy,read,internal,free,late,objection,longterm,antidiscrimination,calare,shelton,australians,love,home,parkes,newman,speaker,private,hope,inevitably,nations
15,hard,parental,valid,labor,place,way,entity,thing,person,matter,celebrant,know,mother,holds,supporting,turnbull,agencies,foy,territory,commitment,change,firm,conscience,catholic,process,case,conscientious,think,committee,senator,national,statistics,day,say,references,principle,defer,relationships,salute,inquiry,civil
16,want,express,marriages,question,legislate,support,advancing,came,won,amended,final,expressed,environment,organisations,legislation,member,employment,father,provisions,australian,result,couples,going,skin,vote,remained,select,law,exemptions,courage,personal,notwithstanding,week,event,bring,theologian,question,view,croome,honourable,tribunal
17,know,beliefs,couples,election,regardless,sex,unnecessary,really,bells,amendment,sex,promises,father,body,hatred,leader,england,sides,provision,relationships,participation,parkinson,members,tell,sex,1902,forces,concerned,marriages,australians,stories,opportunity,australia,castle,asking,henry,deputy,email,pay,suggests,hauled
18,really,parliament,reiterated,parliament,laws,act,funding,book,ignorance,members,separate,promise,love,purposes,let,government,schools,okay,australia,men,western,functional,letter,conflict,family,changes,armed,institution,freedom,moment,case,debate,humility,want,country,deficiency,start,percent,member,proceedings,manifest
19,long,belief,legislation,funding,families,changes,reason,bit,lies,expression,religion,clear,purpose,authorised,canning,end,australia,homophobic,federal,message,issue,campaign,amendments,wife,work,sexual,improve,area,beliefs,society,chamber,relation,campaign,don,gender,theology,orders,relationship,answer,view,limitations
